IBSD - 2022
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;1.197,84;;1.313,78;;1.230,04;1.131,23;1.159,62;1.238,61;;1.281,94;1.245,60
2;;1.184,29;1.183,79;;1.182,29;1.242,79;;1.167,16;1.248,53;;;1.255,82
3;1.072,19;1.191,72;1.189,73;;1.187,20;1.228,94;;1.173,45;;1.273,20;1.277,72;
4;1.069,93;1.183,34;1.180,14;1.304,78;1.210,12;;1.120,00;1.204,09;;1.261,16;1.297,13;
5;1.053,77;;;1.279,16;1.177,33;;1.116,14;1.213,38;1.256,72;1.261,72;;1.224,26
6;1.054,03;;;1.275,49;1.177,83;1.213,65;1.123,58;;1.233,48;1.261,59;;1.237,41
7;1.063,51;1.180,37;1.153,57;1.275,57;;1.204,73;1.142,96;;;1.257,67;1.267,64;1.233,59
8;;1.181,81;1.153,16;1.273,27;;1.193,37;1.143,82;1.222,85;1.228,58;;1.276,60;1.207,97
9;;1.180,65;1.196,44;;1.172,67;1.184,25;;1.233,51;1.251,58;;1.254,77;1.213,32
10;1.059,00;1.186,22;1.193,02;;1.166,51;1.166,46;;1.244,44;;1.258,51;1.215,38;
11;1.068,38;1.191,09;1.174,00;1.262,82;1.167,07;;1.122,81;1.231,89;;1.249,05;1.249,75;
12;1.084,45;;;1.256,07;1.186,18;;1.124,90;1.256,31;1.257,15;;;1.190,32
13;1.087,65;;;1.263,87;1.197,56;1.147,83;1.118,75;;1.228,95;1.245,08;;1.164,54
14;1.097,12;1.193,88;1.170,84;1.265,62;;1.145,80;1.110,26;;1.220,55;1.225,17;1.254,71;1.173,59
15;;1.206,66;1.169,76;;;1.166,63;1.117,97;1.262,15;1.214,96;;;1.173,37
16;;1.209,85;1.189,81;;1.212,24;;;1.261,67;1.212,90;;1.222,20;1.169,13
17;1.098,78;1.198,47;1.211,54;;1.227,12;1.156,23;;1.268,62;;1.237,54;1.210,85;
18;1.103,06;1.202,60;1.234,37;1.270,37;1.203,27;;1.117,67;1.256,58;;1.262,14;1.207,19;
19;1.122,99;;;1.249,46;1.209,99;;1.129,93;1.237,50;1.237,80;1.260,16;;1.183,04
20;1.135,65;;;1.252,92;1.226,54;1.159,58;1.129,29;;1.244,11;1.270,49;;1.203,70
21;1.138,98;1.184,01;1.247,31;;;1.159,16;1.134,05;;1.240,36;1.294,56;1.233,49;1.209,15
22;;1.192,72;1.266,47;1.229,04;;1.153,65;1.132,47;1.232,34;1.268,07;;1.228,16;1.216,00
23;;1.191,21;1.267,64;;1.240,26;1.134,22;;1.244,38;1.252,65;;1.224,23;1.228,26
24;1.130,92;1.171,97;1.289,17;;1.249,91;1.126,69;;1.245,03;;1.263,43;1.253,59;
25;1.157,43;1.173,63;1.298,07;1.234,09;1.247,37;;1.143,11;1.244,65;;1.247,68;1.226,84;
26;1.165,05;;;1.211,13;1.245,55;;1.134,70;1.235,22;1.218,97;1.226,44;;1.217,96
27;1.185,29;;;1.219,44;1.239,21;1.142,95;1.150,16;;1.200,87;1.252,01;;1.216,72
28;1.188,90;;1.289,40;1.218,97;;1.140,27;1.161,90;;1.199,03;1.247,64;1.221,50;1.235,27
29;;;1.293,39;1.193,97;;1.129,36;1.163,53;1.239,48;1.187,13;;1.243,05;1.232,96
30;;;1.290,69;;1.225,98;1.122,17;;1.228,68;1.208,48;;1.249,79;
31;1.198,41;;1.292,53;;1.230,45;;;1.220,63;;1.265,83;;
MÍNIMO;1.053,77;1.171,97;1.153,16;1.193,97;1.166,51;1.122,17;1.110,26;1.159,62;1.187,13;1.225,17;1.207,19;1.164,54
MÍNIMO;1.198,41;1.209,85;1.298,07;1.313,78;1.249,91;1.242,79;1.163,53;1.268,62;1.268,07;1.294,56;1.297,13;1.255,82
