IFIX - 2012
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;1.197,10;1.255,18;;;1.387,41;;1.507,25;;1.520,32;1.500,97;
2;1.164,10;1.204,83;1.256,03;1.313,09;1.326,91;;1.434,71;1.512,94;;1.523,38;;
3;1.168,74;1.207,31;;1.319,23;1.332,80;;1.443,59;1.512,01;1.515,99;1.513,17;;1.518,25
4;1.177,10;;;1.317,26;1.331,17;1.403,22;1.449,16;;1.517,07;1.523,43;;1.527,21
5;1.179,65;;1.256,75;1.318,29;;1.402,69;1.453,02;;1.514,99;1.519,64;1.482,56;1.525,89
6;1.179,25;1.208,45;1.254,94;;;1.401,04;1.444,97;1.511,87;1.516,92;;1.481,85;1.532,32
7;;1.207,07;1.263,92;;1.334,16;;;1.512,13;;;1.492,38;1.540,15
8;;1.213,91;1.271,24;;1.339,13;1.402,90;;1.494,67;;1.526,96;1.483,71;
9;1.182,01;1.208,70;1.273,98;1.320,66;1.340,18;;;1.507,34;;1.530,11;1.480,91;
10;1.182,84;1.209,00;;1.313,81;1.339,25;;1.460,66;1.504,55;1.521,48;1.527,47;;1.538,52
11;1.189,84;;;1.312,82;1.340,73;1.411,91;1.467,53;;1.525,19;1.536,68;;1.535,50
12;1.190,80;;1.284,66;1.321,72;;1.412,83;1.465,88;;1.527,97;;1.477,97;1.531,28
13;1.188,22;1.222,38;1.296,22;1.317,99;;1.416,05;1.469,27;1.500,28;1.534,12;;1.477,67;1.538,61
14;;1.219,13;1.297,66;;1.338,23;1.418,55;;1.507,83;1.532,79;;1.476,55;1.534,98
15;;1.221,82;1.302,71;;1.346,65;1.419,88;;1.517,44;;1.530,48;;
16;1.189,28;1.226,22;1.302,71;1.315,43;1.340,96;;1.473,25;1.514,35;;1.529,47;1.477,69;
17;1.194,35;1.233,63;;1.319,52;1.338,95;;1.469,49;1.517,60;1.533,70;1.528,82;;1.529,54
18;1.193,37;;;1.319,14;1.337,46;1.424,85;1.473,07;;1.537,32;1.526,49;;1.532,46
19;1.190,75;;1.306,93;1.321,94;;1.421,51;1.477,56;;1.534,44;1.526,62;1.478,09;1.546,04
20;1.184,93;;1.315,18;1.317,89;;1.423,60;1.481,64;1.513,62;1.537,56;;;1.544,85
21;;;1.321,23;;1.340,10;1.421,00;;1.507,53;1.535,45;;1.476,16;1.553,93
22;;1.241,08;1.315,95;;1.334,45;1.426,69;;1.507,43;;1.521,48;1.480,31;
23;1.190,62;1.241,16;1.319,36;1.319,27;1.335,94;;1.502,01;1.503,62;;1.518,26;1.480,18;
24;1.193,02;1.241,45;;1.312,48;1.338,15;;1.501,04;1.500,22;1.534,31;1.516,26;;
25;;;;1.320,62;1.340,76;1.421,45;1.507,75;;1.532,32;1.507,20;;
26;1.197,86;;1.309,05;1.318,67;;1.426,87;1.506,03;;1.534,21;1.504,75;1.468,89;1.564,32
27;1.197,66;1.244,59;1.310,50;1.325,59;;1.420,18;1.503,90;1.493,34;1.529,69;;1.481,22;1.571,50
28;;1.250,35;1.309,09;;1.338,11;1.419,87;;1.520,02;1.532,00;;1.493,62;1.573,34
29;;1.256,23;1.317,85;;1.354,14;1.427,09;;1.528,08;;1.503,00;1.504,19;
30;1.193,22;;1.307,30;1.326,05;1.354,63;;1.508,55;1.499,94;;1.497,02;1.506,52;
31;1.200,43;;;;1.372,63;;1.511,95;1.505,51;;1.500,57;;
MÍNIMO;1.164,10;1.197,10;1.254,94;1.312,48;1.326,91;1.387,41;1.434,71;1.493,34;1.514,99;1.497,02;1.468,89;1.518,25
MÍNIMO;1.200,43;1.256,23;1.321,23;1.326,05;1.372,63;1.427,09;1.511,95;1.528,08;1.537,56;1.536,68;1.506,52;1.573,34
