IDIV - 2020
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;4.547,94;;5.201,62;5.700,18;;5.781,93;5.460,30;;6.376,68
2;6.943,01;;6.505,24;4.569,11;;5.361,96;5.701,39;;5.790,86;5.423,02;;6.395,42
3;6.889,32;6.829,92;6.469,63;4.424,07;;5.526,58;5.762,48;5.938,57;5.765,83;;5.551,11;6.431,32
4;;6.850,70;6.647,70;;4.782,70;5.534,08;;5.819,26;5.791,26;;5.664,21;6.465,19
5;;6.896,77;6.343,55;;4.813,60;5.563,88;;5.842,84;;5.466,52;5.815,09;
6;6.861,07;6.841,06;6.162,93;4.639,79;4.747,99;;5.850,59;5.981,23;;5.454,98;5.870,60;
7;6.854,63;6.739,15;;4.739,88;4.604,29;;5.764,70;5.902,69;;5.433,85;;6.494,04
8;6.790,77;;;4.847,06;4.699,19;5.738,95;5.879,95;;5.781,32;5.558,54;;6.490,05
9;6.765,26;;5.658,59;4.853,13;;5.691,74;5.843,68;;5.838,84;5.555,50;6.015,03;6.458,83
10;6.793,54;6.648,57;5.943,33;;;5.571,30;5.871,21;5.921,70;5.715,18;;6.101,80;6.592,96
11;;6.805,32;5.636,75;;4.640,87;;;5.868,57;5.620,37;;6.028,61;6.671,55
12;;6.896,00;4.948,88;;4.539,09;5.464,15;;5.820,31;;;5.912,50;
13;6.901,23;6.853,61;5.455,03;4.899,04;4.513,54;;5.820,60;5.742,31;;5.586,18;6.046,55;
14;6.955,75;6.782,69;;5.001,76;4.634,21;;5.823,39;5.756,31;5.708,67;5.634,83;;6.622,16
15;6.892,13;;;4.954,96;4.550,45;5.448,82;5.887,45;;5.695,44;5.652,96;;6.676,97
16;6.901,41;;4.859,10;4.872,78;;5.499,53;5.843,06;;5.673,87;5.604,84;6.170,91;6.728,33
17;6.970,96;6.827,68;5.055,96;4.871,69;;5.653,16;5.953,37;5.628,69;5.675,52;;6.211,16;6.725,32
18;;6.807,09;4.601,28;;4.739,78;5.723,73;;5.774,37;5.565,68;;6.153,81;6.702,63
19;;6.888,58;4.635,34;;4.684,07;5.804,22;;5.723,55;;5.622,22;6.168,32;
20;7.022,30;6.788,87;4.482,40;4.896,12;4.718,38;;6.037,99;5.728,99;;5.723,69;6.118,87;
21;6.953,70;6.790,25;;;4.883,58;;5.991,82;5.771,38;5.528,12;5.751,27;;6.614,70
22;7.022,29;;;5.000,05;4.839,77;5.799,98;5.993,25;;5.565,16;5.813,57;;6.641,62
23;7.086,88;;4.186,18;4.933,79;;5.771,79;5.897,12;;5.470,38;5.793,97;6.167,47;6.722,59
24;7.028,04;;4.386,94;4.663,73;;5.636,43;5.869,52;5.806,11;5.553,64;;6.268,82;
25;;;4.655,50;;5.082,76;5.704,07;;5.816,07;5.520,97;;6.276,69;
26;;6.404,83;4.948,76;;5.054,45;5.533,85;;5.728,45;;5.813,03;6.286,36;
27;6.853,13;6.245,07;4.736,40;4.802,08;5.176,05;;5.980,50;5.709,55;;5.746,12;6.322,82;
28;6.932,77;6.329,04;;4.956,16;5.145,57;;5.920,08;5.802,73;5.418,63;5.527,18;;6.810,24
29;6.877,43;;;5.032,93;5.134,89;5.645,74;5.976,82;;5.362,46;5.560,85;;6.843,21
30;6.831,60;;4.808,64;4.890,29;;5.594,42;5.986,93;;5.409,49;5.444,62;6.228,70;6.785,57
31;6.745,64;;4.713,07;;;;5.959,59;5.671,88;;;;
MÍNIMO;6.745,64;6.245,07;4.186,18;4.424,07;4.513,54;5.201,62;5.700,18;5.628,69;5.362,46;5.423,02;5.551,11;6.376,68
MÍNIMO;7.086,88;6.896,77;6.647,70;5.032,93;5.176,05;5.804,22;6.037,99;5.981,23;5.838,84;5.813,57;6.322,82;6.843,21
