SMLL - 2007
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;862,10;848,46;;;1.051,88;;1.067,30;;1.112,18;1.132,81;
2;846,31;865,42;832,00;886,36;966,85;;1.088,37;1.066,58;;1.107,60;;
3;842,04;;;904,98;975,02;;1.093,44;1.052,70;1.052,83;1.100,11;;1.074,78
4;851,32;;;913,85;979,22;1.049,19;1.096,08;;1.056,04;1.112,61;;1.072,51
5;824,91;867,57;808,78;915,40;;1.041,38;1.100,34;;1.046,42;1.123,53;1.128,70;1.084,37
6;;868,47;842,29;;;1.025,05;1.106,74;1.063,49;1.043,38;;1.141,32;1.094,35
7;;863,34;832,18;;976,75;;;1.081,93;;;1.125,39;1.102,53
8;827,78;866,03;851,79;;979,20;1.029,53;;1.100,44;;1.126,34;1.100,39;
9;819,14;862,73;866,38;909,82;994,42;;;1.074,53;;1.127,05;1.105,07;
10;823,39;;;907,82;986,22;;1.104,68;1.064,24;1.015,47;1.116,78;;1.096,99
11;832,77;;;899,47;996,74;1.035,35;1.102,67;;1.027,65;1.112,27;;1.081,74
12;833,53;863,25;875,53;900,72;;1.019,75;1.112,57;;1.026,92;;1.077,01;1.074,03
13;;871,72;852,14;908,25;;1.036,35;1.120,23;1.059,24;1.039,18;;1.083,74;1.052,52
14;;874,55;858,83;;988,11;1.051,68;;1.031,79;1.038,79;;1.105,52;1.048,71
15;830,64;877,54;854,26;;991,76;1.065,22;;995,36;;1.107,03;;
16;826,41;877,97;850,15;922,63;1.004,60;;1.113,94;946,56;;1.097,46;1.101,60;
17;830,90;;;927,64;1.004,27;;1.116,29;975,53;1.028,65;1.108,22;;1.009,42
18;830,92;;;924,36;1.008,73;1.064,64;1.118,11;;1.048,11;1.115,69;;1.019,51
19;844,19;;855,72;927,81;;1.060,23;1.130,93;;1.051,67;1.090,59;1.071,37;1.021,87
20;;;870,20;937,63;;1.053,39;1.124,93;983,60;1.047,27;;;1.013,89
21;;891,42;889,28;;1.015,66;1.066,37;;999,17;1.053,53;;1.020,97;1.033,40
22;846,59;896,66;888,30;;1.012,45;1.055,83;;1.027,35;;1.091,46;1.024,16;
23;854,06;892,94;891,72;928,31;1.014,46;;1.133,40;1.022,28;;1.110,11;1.035,24;
24;859,84;;;936,32;1.012,88;;1.100,66;1.040,84;1.058,99;1.112,26;;
25;;;;950,17;1.018,29;1.055,01;1.099,77;;1.061,35;1.104,37;;
26;851,50;894,18;893,73;944,94;;1.059,66;1.064,19;;1.073,16;1.121,79;999,95;1.040,17
27;;845,41;889,42;956,32;;1.066,58;1.057,00;1.038,60;1.089,74;;991,82;1.049,83
28;;854,73;874,68;;1.031,14;1.075,58;;1.010,56;1.089,96;;1.034,63;1.054,02
29;840,08;;881,71;;1.026,11;1.071,42;;1.022,68;;1.127,65;1.039,95;
30;845,55;;886,22;951,83;1.034,55;;1.080,85;1.020,77;;1.126,82;1.068,21;
31;849,39;;;;1.042,60;;1.077,82;1.046,69;;1.137,66;;
MÍNIMO;819,14;845,41;808,78;886,36;966,85;1.019,75;1.057,00;946,56;1.015,47;1.090,59;991,82;1.009,42
MÍNIMO;859,84;896,66;893,73;956,32;1.042,60;1.075,58;1.133,40;1.100,44;1.089,96;1.137,66;1.141,32;1.102,53
