IFIX - 2023
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;2.807,02;2.808,70;;;3.011,49;;3.189,33;3.217,23;;3.146,95;3.175,08
2;2.861,10;2.814,15;2.810,98;;2.859,63;3.026,89;;3.192,16;;3.197,13;;
3;2.855,21;2.815,69;2.821,35;2.753,11;2.863,90;;3.152,07;3.201,72;;3.195,72;3.160,39;
4;2.846,90;;;2.761,00;2.875,33;;3.157,36;3.216,66;3.217,63;3.184,79;;3.184,55
5;2.855,86;;;2.760,26;2.886,42;3.034,95;3.170,77;;3.215,79;3.183,15;;3.189,90
6;2.850,98;2.811,12;2.811,73;2.760,38;;3.034,04;3.177,21;;3.222,02;3.183,21;3.162,81;3.191,27
7;;2.804,81;2.809,10;;;3.038,80;3.190,78;3.219,41;;;3.172,96;3.179,69
8;;2.798,31;2.798,40;;2.898,59;;;3.216,83;3.240,33;;3.174,22;3.189,62
9;2.845,35;2.791,44;2.791,81;;2.910,39;3.046,98;;3.212,17;;3.179,35;3.177,75;
10;2.845,39;2.785,52;2.788,51;2.760,71;2.915,00;;3.181,10;3.213,12;;3.180,39;3.182,18;
11;2.839,07;;;2.765,29;2.928,48;;3.181,58;3.220,69;3.226,93;3.183,77;;3.180,99
12;2.833,33;;;2.769,99;2.944,57;3.047,79;3.179,95;;3.224,84;;;3.169,67
13;2.838,74;2.774,40;2.772,75;2.769,70;;3.051,11;3.178,31;;3.216,18;3.192,01;3.180,24;3.177,05
14;;2.778,70;2.774,85;2.781,47;;3.056,04;3.184,03;3.214,57;3.216,40;;3.184,40;3.184,23
15;;2.782,91;2.778,06;;2.967,44;3.064,48;;3.214,54;3.234,06;;;3.189,62
16;2.840,79;2.780,71;2.777,15;;2.978,45;3.082,71;;3.212,37;;3.190,17;3.191,32;
17;2.838,03;2.797,40;2.776,03;2.797,18;2.990,02;;3.182,62;3.206,35;;3.183,18;3.197,69;
18;2.838,73;;;2.809,34;2.992,68;;3.180,00;3.209,51;3.233,38;3.173,80;;3.197,51
19;2.824,92;;;2.809,01;2.998,16;3.093,01;3.174,68;;3.229,52;3.164,08;;3.206,75
20;2.826,67;;2.768,22;2.813,94;;3.097,34;3.173,70;;3.224,70;3.168,43;3.196,44;3.212,55
21;;;2.769,48;;;3.103,36;3.185,21;3.203,21;3.224,24;;3.191,36;3.232,47
22;;2.797,85;2.768,43;;3.000,79;3.099,39;;3.195,17;3.226,39;;3.179,70;3.260,47
23;2.815,86;2.793,49;2.760,67;;3.005,48;3.106,81;;3.189,65;;3.172,40;3.178,48;
24;2.811,90;2.803,11;2.770,26;2.816,23;2.996,11;;3.182,42;3.190,05;;3.155,53;3.174,49;
25;2.816,54;;;2.814,98;3.003,53;;3.182,86;3.197,10;3.214,28;3.150,21;;
26;2.809,44;;;2.817,21;3.007,39;3.109,74;3.174,92;;3.199,14;3.141,77;;3.285,40
27;2.809,46;2.808,07;2.767,27;2.827,24;;3.116,60;3.173,67;;3.193,15;3.155,69;3.159,19;3.298,60
28;;2.808,39;2.763,77;2.858,23;;3.120,45;3.181,25;3.189,09;3.193,17;;3.167,49;3.311,43
29;;;2.744,39;;3.007,26;3.132,06;;3.192,43;3.219,28;;3.164,00;
30;2.807,88;;2.736,12;;3.002,96;3.155,32;;3.208,00;;3.156,07;3.176,56;
31;2.821,14;;2.760,96;;3.013,46;;3.197,18;3.212,81;;3.155,70;;
MÍNIMO;2.807,88;2.774,40;2.736,12;2.753,11;2.859,63;3.011,49;3.152,07;3.189,09;3.193,15;3.141,77;3.146,95;3.169,67
MÍNIMO;2.861,10;2.815,69;2.821,35;2.858,23;3.013,46;3.155,32;3.197,18;3.220,69;3.240,33;3.197,13;3.197,69;3.311,43
