IBLV - 2023
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;16.948,99;16.299,18;;;17.398,94;;18.709,23;18.253,64;;17.906,58;19.392,09
2;16.336,53;16.784,36;16.270,70;;16.898,13;17.674,73;;18.702,30;;18.068,02;;
3;16.041,36;16.604,89;16.261,71;16.254,21;16.884,91;;18.638,40;18.632,34;;17.858,09;18.245,58;
4;16.191,11;;;16.476,95;16.891,35;;18.569,75;18.594,89;18.285,76;17.957,67;;19.372,79
5;16.386,52;;;16.349,13;17.158,47;17.650,79;18.611,44;;18.087,56;17.922,28;;19.493,53
6;16.572,37;16.619,55;16.437,69;16.427,67;;17.968,59;18.386,32;;17.858,30;17.986,33;18.342,32;19.433,87
7;;16.420,54;16.490,22;;;17.965,25;18.539,93;18.549,71;;;18.542,49;19.403,17
8;;16.722,42;16.705,38;;17.170,67;;;18.459,10;17.826,34;;18.663,81;19.479,55
9;16.665,11;16.387,97;16.557,70;;17.284,39;18.193,56;;18.320,81;;18.084,69;18.575,89;
10;16.824,15;16.520,59;16.370,37;16.482,81;17.371,82;;18.439,31;18.346,59;;18.279,37;18.832,17;
11;17.068,05;;;16.822,32;17.461,21;;18.313,95;18.382,83;18.084,05;18.325,92;;19.448,51
12;17.035,87;;;17.008,14;17.483,84;18.276,90;18.310,07;;18.278,36;;;19.436,31
13;16.865,22;16.658,39;16.373,48;17.025,61;;18.203,22;18.471,78;;18.341,89;18.014,79;18.765,05;19.834,56
14;;16.569,50;16.455,34;17.026,71;;18.418,35;18.318,63;18.322,33;18.414,74;;19.122,43;19.956,09
15;;16.766,58;16.543,35;;17.588,58;18.500,51;;18.125,33;18.443,38;;;19.896,28
16;16.670,34;16.810,25;16.500,69;;17.436,75;18.382,81;;18.045,83;;18.114,16;19.371,63;
17;16.941,75;16.818,56;16.194,73;17.041,36;17.455,23;;18.379,87;17.979,98;;17.890,62;19.232,93;
18;17.090,97;;;17.002,70;17.529,01;;18.304,04;18.043,88;18.396,09;17.599,56;;19.904,79
19;17.138,66;;;16.828,99;17.643,09;18.461,25;18.246,75;;18.388,90;17.723,52;;20.063,56
20;16.947,85;;16.081,98;16.918,92;;18.503,77;18.350,84;;18.571,06;17.614,05;19.281,78;19.907,64
21;;;16.030,08;;;18.516,27;18.591,22;17.902,81;18.339,37;;19.222,77;20.017,46
22;;16.548,82;16.004,35;;17.610,71;18.285,87;;18.101,07;18.295,64;;19.256,22;20.127,47
23;16.851,01;16.574,49;15.848,43;;17.585,00;18.532,12;;18.204,76;;17.756,20;19.322,72;
24;16.983,51;16.403,08;16.060,21;16.866,99;17.468,70;;18.740,19;18.109,39;;17.823,24;19.164,54;
25;17.133,60;;;16.809,50;17.616,65;;18.747,08;18.029,83;18.338,54;17.643,09;;
26;17.142,79;;;16.726,00;17.718,27;18.398,47;18.898,36;;18.078,20;17.980,82;;20.216,95
27;16.998,57;16.346,99;16.132,91;16.827,43;;18.310,20;18.671,39;;17.948,26;17.616,89;19.223,81;20.288,96
28;;16.365,58;16.351,25;17.024,12;;18.200,67;18.737,38;18.190,57;18.121,86;;19.280,47;20.328,05
29;;;16.381,40;;17.653,04;18.352,48;;18.426,31;18.150,47;;19.239,99;
30;17.043,32;;16.588,20;;17.500,61;18.545,27;;18.286,80;;17.458,15;19.377,20;
31;17.166,14;;16.409,74;;17.320,12;;18.752,82;18.013,54;;17.606,64;;
MÍNIMO;16.041,36;16.346,99;15.848,43;16.254,21;16.884,91;17.398,94;18.246,75;17.902,81;17.826,34;17.458,15;17.906,58;19.372,79
MÍNIMO;17.166,14;16.948,99;16.705,38;17.041,36;17.718,27;18.545,27;18.898,36;18.709,23;18.571,06;18.325,92;19.377,20;20.328,05
