UTIL - 2012
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;2.979,97;3.237,38;;;3.208,28;;3.439,75;;2.821,77;2.837,46;
2;2.914,34;2.969,71;3.253,16;3.395,48;3.439,72;;3.421,19;3.402,65;;2.823,71;;
3;2.893,24;2.967,83;;3.344,00;3.405,36;;3.380,54;3.435,96;3.231,07;2.787,81;;2.694,87
4;2.950,20;;;3.322,36;3.389,19;3.235,01;3.385,51;;3.208,28;2.760,16;;2.686,87
5;2.946,21;;3.275,52;3.349,26;;3.201,08;3.385,65;;3.258,53;2.795,29;2.787,63;2.638,32
6;2.950,95;2.969,77;3.234,87;;;3.265,94;3.365,84;3.470,67;3.265,81;;2.771,02;2.659,91
7;;3.005,79;3.241,04;;3.427,51;;;3.459,83;;;2.748,08;2.679,33
8;;3.023,67;3.244,63;;3.417,46;3.287,64;;3.490,97;;2.787,85;2.693,19;
9;2.967,54;3.045,78;3.286,78;3.330,31;3.413,71;;;3.488,00;;2.783,74;2.677,39;
10;2.932,84;3.076,14;;3.328,48;3.446,47;;3.317,59;3.522,04;3.200,36;2.758,01;;2.679,22
11;2.920,29;;;3.305,95;3.448,54;3.284,73;3.297,11;;3.053,82;2.777,11;;2.700,52
12;2.925,84;;3.290,27;3.319,77;;3.353,72;3.306,42;;2.734,63;;2.625,75;2.704,44
13;2.924,02;3.097,57;3.345,82;3.291,51;;3.360,65;3.314,24;3.515,12;2.821,92;;2.662,83;2.687,44
14;;3.094,50;3.339,40;;3.333,71;3.349,06;;3.509,29;2.829,28;;2.631,55;2.688,22
15;;3.140,14;3.314,12;;3.287,80;3.347,94;;3.515,32;;2.816,99;;
16;2.927,44;3.155,87;3.286,87;3.297,07;3.325,92;;3.308,94;3.553,37;;2.837,13;2.623,87;
17;2.914,75;3.178,05;;3.298,19;3.266,08;;3.356,51;3.518,64;2.851,98;2.820,83;;2.690,52
18;2.939,89;;;3.328,73;3.273,03;3.358,52;3.353,48;;2.892,15;2.794,17;;2.686,23
19;2.927,65;;3.301,51;3.331,65;;3.375,91;3.361,52;;2.856,93;2.810,23;2.596,14;2.684,97
20;2.940,40;;3.298,36;3.336,22;;3.368,15;3.336,88;3.519,16;2.826,74;;;2.688,90
21;;;3.291,17;;3.244,59;3.342,81;;3.509,38;2.827,53;;2.534,20;2.740,74
22;;3.185,53;3.278,00;;3.248,50;3.308,52;;3.518,45;;2.802,20;2.549,06;
23;2.908,36;3.162,95;3.266,49;3.335,70;3.230,51;;3.329,30;3.465,50;;2.771,75;2.637,42;
24;2.916,06;3.184,04;;3.376,93;3.216,23;;3.320,47;3.474,53;2.845,94;2.760,63;;
25;;;;3.394,91;3.183,79;3.318,74;3.340,12;;2.834,95;2.775,01;;
26;2.931,21;;3.312,46;3.388,90;;3.345,22;3.390,38;;2.833,23;2.781,03;2.647,43;2.729,07
27;2.926,21;3.167,08;3.324,95;3.411,75;;3.378,70;3.461,41;3.464,44;2.829,19;;2.603,53;2.730,39
28;;3.194,40;3.304,97;;3.222,12;3.410,45;;3.472,94;2.821,54;;2.637,52;2.752,48
29;;3.206,14;3.303,90;;3.176,32;3.414,83;;3.412,45;;2.778,88;2.646,40;
30;2.954,02;;3.316,03;3.442,61;3.170,05;;3.488,26;3.328,43;;2.799,89;2.687,04;
31;2.987,73;;;;3.224,18;;3.456,00;3.190,27;;2.780,66;;
MÍNIMO;2.893,24;2.967,83;3.234,87;3.291,51;3.170,05;3.201,08;3.297,11;3.190,27;2.734,63;2.758,01;2.534,20;2.638,32
MÍNIMO;2.987,73;3.206,14;3.345,82;3.442,61;3.448,54;3.414,83;3.488,26;3.553,37;3.265,81;2.837,13;2.837,46;2.752,48
