Price,Close
Ticker,VWRA11.SA
Date,
2025-09-30,100.5999984741211
2025-10-01,101.5199966430664
2025-10-02,101.55999755859375
2025-10-03,101.83000183105469
2025-10-06,101.69000244140625
2025-10-07,101.7699966430664
2025-10-08,102.19000244140625
2025-10-09,102.25
2025-10-10,101.98999786376953
2025-10-13,102.87000274658203
2025-10-14,102.87999725341797
2025-10-15,103.27999877929688
2025-10-16,102.87999725341797
2025-10-17,102.33999633789062
2025-10-20,102.76000213623047
2025-10-21,102.87000274658203
2025-10-22,102.30999755859375
2025-10-23,103.0
2025-10-24,103.69999694824219
2025-10-27,104.13999938964844
2025-10-28,104.19999694824219
2025-10-29,104.06999969482422
2025-10-30,103.56999969482422
2025-10-31,103.76000213623047
2025-11-03,103.44999694824219
2025-11-04,103.0
2025-11-05,102.68000030517578
2025-11-06,101.69000244140625
2025-11-07,101.66999816894531
2025-11-10,102.38999938964844
2025-11-11,102.02999877929688
2025-11-12,102.68000030517578
2025-11-13,101.20999908447266
2025-11-14,101.1500015258789
2025-11-17,100.37999725341797
2025-11-18,99.83999633789062
2025-11-19,100.0999984741211
2025-11-21,100.88999938964844
2025-11-24,101.9800033569336
2025-11-25,102.75
2025-11-26,102.37999725341797
2025-11-27,102.29000091552734
2025-11-28,102.86000061035156
2025-12-01,103.05999755859375
2025-12-02,102.75
2025-12-03,102.5999984741211
2025-12-04,102.77999877929688
2025-12-05,105.51000213623047
2025-12-08,104.87000274658203
2025-12-09,104.87999725341797
2025-12-10,106.58000183105469
2025-12-11,105.77999877929688
2025-12-12,104.58999633789062
2025-12-15,104.61000061035156
2025-12-16,105.19000244140625
2025-12-17,105.1500015258789
2025-12-18,105.94000244140625
2025-12-19,107.08000183105469
2025-12-22,108.8499984741211
2025-12-23,108.20999908447266
2025-12-26,108.94999694824219
2025-12-29,108.30000305175781
2025-12-30,106.38999938964844
2026-01-02,105.55000305175781
