IFIX - 2019
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;2.407,87;2.444,36;2.481,83;;;2.628,59;2.653,18;;2.677,01;2.795,75;
2;2.367,76;;;2.482,52;2.503,68;;2.630,89;2.661,50;2.656,72;2.676,91;;2.891,75
3;2.379,19;;;2.486,19;2.505,47;2.557,00;2.639,02;;2.657,43;2.676,04;;2.907,52
4;2.385,10;2.405,57;;2.485,93;;2.557,30;2.634,87;;2.662,14;2.682,49;2.804,89;2.916,28
5;;2.404,14;;2.484,62;;2.558,86;2.641,22;2.647,27;2.660,31;;2.802,38;2.919,17
6;;2.398,71;2.451,69;;2.496,26;2.560,60;;2.649,55;2.659,71;;2.813,64;2.931,27
7;2.389,30;2.400,83;2.457,10;;2.496,06;2.567,99;;2.653,35;;2.681,53;2.826,51;
8;2.390,14;2.402,61;2.460,08;2.480,40;2.496,46;;2.637,88;2.650,85;;2.682,96;2.833,05;
9;2.392,57;;;2.481,74;2.493,30;;;2.638,89;2.658,09;2.684,61;;2.934,71
10;2.387,98;;;2.481,79;2.491,99;2.565,06;2.628,66;;2.657,64;2.689,04;;2.945,86
11;2.388,43;2.405,91;2.463,50;2.486,53;;2.560,29;2.625,40;;2.652,17;2.696,63;2.828,66;2.958,78
12;;2.403,81;2.464,68;2.483,05;;2.559,73;2.624,18;2.629,19;2.655,65;;2.827,77;2.971,83
13;;2.403,97;2.464,92;;2.484,23;2.559,06;;2.635,88;2.658,16;;2.824,79;2.981,04
14;2.388,03;2.404,01;2.471,01;;2.488,87;2.561,24;;2.629,32;;2.697,47;2.829,72;
15;2.386,35;2.406,91;2.482,77;2.487,86;2.491,04;;2.620,09;2.627,05;;2.706,09;;
16;2.390,77;;;2.483,87;2.496,88;;2.623,53;2.637,13;2.655,74;2.715,72;;2.989,96
17;2.390,51;;;2.486,97;2.497,36;2.563,84;2.628,50;;2.658,98;2.717,31;;2.996,62
18;2.398,21;2.413,49;2.485,35;2.492,38;;2.573,35;2.628,92;;2.659,00;2.726,26;2.838,35;3.011,59
19;;2.413,19;2.480,17;;;2.580,49;2.624,71;2.633,37;2.664,49;;2.852,15;3.026,27
20;;2.418,27;2.483,05;;2.497,66;;;2.623,98;2.667,64;;;3.051,80
21;2.396,42;2.409,82;2.481,89;;2.503,36;2.592,55;;2.625,50;;2.741,27;2.859,15;
22;2.395,49;2.413,90;2.471,35;2.491,70;2.509,97;;2.621,86;2.626,34;;2.747,45;2.872,09;
23;2.390,37;;;2.493,87;2.510,46;;2.626,85;2.627,45;2.666,58;2.755,39;;3.085,82
24;2.387,99;;;2.492,85;2.517,57;2.598,10;2.628,58;;2.667,86;2.758,91;;
25;;2.403,94;2.473,97;2.491,30;;2.598,14;2.625,78;;2.672,36;2.766,40;2.872,55;
26;;2.409,46;2.480,79;2.498,02;;2.604,72;2.633,75;2.621,43;2.669,54;;2.876,59;3.134,80
27;;2.420,88;2.474,00;;2.519,20;2.609,38;;2.624,23;2.677,78;;2.877,26;3.169,30
28;2.380,57;2.434,56;2.476,55;;2.522,48;2.626,10;;2.632,17;;2.769,04;2.884,48;
29;2.392,97;;2.482,93;2.498,43;2.528,64;;2.644,17;2.639,44;;2.769,70;2.890,26;
30;2.398,05;;;2.508,45;2.543,76;;2.650,15;2.656,69;2.684,26;2.778,21;;3.197,58
31;2.409,69;;;;2.552,69;;2.659,55;;;2.791,98;;
MÍNIMO;2.367,76;2.398,71;2.444,36;2.480,40;2.484,23;2.557,00;2.620,09;2.621,43;2.652,17;2.676,04;2.795,75;2.891,75
MÍNIMO;2.409,69;2.434,56;2.485,35;2.508,45;2.552,69;2.626,10;2.659,55;2.661,50;2.684,26;2.791,98;2.890,26;3.197,58
