UTIL - 2011
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;2.410,67;2.444,63;2.711,15;;2.635,81;2.680,82;2.587,91;2.506,61;;2.541,29;2.683,38
2;;2.389,84;2.467,27;;2.625,97;2.668,89;;2.561,02;2.485,52;;;2.646,52
3;2.422,81;2.391,32;2.487,70;;2.624,23;2.698,11;;2.526,79;;2.416,28;2.582,65;
4;2.438,10;2.365,07;2.502,94;2.719,47;2.639,90;;2.693,99;2.473,79;;2.388,11;2.617,61;
5;2.469,98;;;2.738,12;2.662,23;;2.686,91;2.471,24;2.460,12;2.381,34;;2.689,99
6;2.456,19;;;2.712,72;2.689,87;2.673,10;2.677,05;;2.521,62;2.385,77;;2.739,92
7;2.471,13;2.386,54;;2.692,52;;2.657,59;2.658,57;;;2.349,56;2.637,52;2.710,60
8;;2.384,88;;2.671,48;;2.639,11;2.656,63;2.329,44;2.526,62;;2.614,65;2.722,09
9;;2.350,02;2.520,36;;2.701,84;2.634,19;;2.379,48;2.485,60;;2.587,18;2.738,84
10;2.450,66;2.347,98;2.507,75;;2.693,92;2.613,39;;2.368,76;;2.420,95;2.588,96;
11;2.461,17;2.358,05;2.541,09;2.649,87;2.676,58;;2.630,41;2.387,34;;2.423,82;2.626,41;
12;2.499,04;;;2.629,28;2.692,45;;2.634,59;2.343,71;2.488,53;;;2.759,00
13;2.521,53;;;2.638,80;2.676,77;2.607,79;2.653,64;;2.481,25;2.450,55;;2.785,75
14;2.539,82;2.359,14;2.565,69;2.635,02;;2.611,61;2.646,20;;2.498,76;2.449,61;2.604,83;2.810,21
15;;2.360,79;2.552,78;2.632,17;;2.604,86;2.645,67;2.396,18;2.498,92;;;2.819,02
16;;2.406,56;2.489,78;;2.675,16;2.627,62;;2.419,21;2.548,82;;2.644,65;2.815,46
17;2.531,78;2.413,10;2.499,54;;2.672,98;2.633,45;;2.438,54;;2.432,84;2.587,86;
18;2.510,32;2.435,49;2.509,81;2.666,00;2.669,53;;2.636,03;2.413,51;;2.480,37;2.597,47;
19;2.486,06;;;2.668,54;2.684,73;;2.613,53;2.371,24;2.545,45;2.473,85;;2.820,82
20;2.469,62;;;2.670,62;2.699,90;2.652,42;2.603,68;;2.563,32;2.460,75;;2.877,72
21;2.442,00;2.437,08;2.519,21;;;2.675,34;2.614,63;;2.578,67;2.499,05;2.605,92;2.882,35
22;;2.432,10;2.559,04;;;2.646,52;2.629,17;2.372,27;2.487,21;;2.602,22;2.899,44
23;;2.422,50;2.563,68;;2.684,34;;;2.380,60;2.451,07;;2.590,62;2.946,46
24;2.455,60;2.420,34;2.576,05;;2.691,57;2.672,11;;2.374,88;;2.519,60;2.593,47;
25;;2.423,08;2.593,28;2.663,51;2.691,45;;2.619,84;2.372,41;;2.480,48;2.609,71;
26;2.441,03;;;2.664,61;2.679,23;;2.609,26;2.394,77;2.447,50;2.532,89;;2.955,22
27;2.421,59;;;2.654,44;2.663,48;2.664,30;2.570,10;;2.454,79;2.552,16;;2.971,37
28;2.380,36;2.461,04;2.575,63;2.653,58;;2.686,77;2.587,12;;2.433,41;2.546,76;2.640,85;2.923,92
29;;;2.603,71;2.654,39;;2.694,41;2.597,01;2.427,09;2.438,53;;2.620,07;2.939,32
30;;;2.648,69;;2.655,21;2.689,82;;2.432,68;2.436,19;;2.678,34;
31;2.400,32;;2.663,40;;2.657,56;;;2.493,98;;2.564,89;;
MÍNIMO;2.380,36;2.347,98;2.444,63;2.629,28;2.624,23;2.604,86;2.570,10;2.329,44;2.433,41;2.349,56;2.541,29;2.646,52
MÍNIMO;2.539,82;2.461,04;2.663,40;2.738,12;2.701,84;2.698,11;2.693,99;2.587,91;2.578,67;2.564,89;2.678,34;2.971,37
