IBSD - 2025
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;1.615,41;;;1.690,10;1.612,54;1.717,70;1.775,55;;
2;1.476,99;;;1.603,96;1.665,62;1.677,64;1.688,70;;1.704,70;1.761,58;;
3;1.452,04;1.540,99;;1.605,89;;1.688,48;1.713,48;;1.697,27;1.764,91;1.856,92;
4;;1.531,92;;1.563,26;;1.676,03;1.719,27;1.614,40;1.713,76;;1.861,17;
5;;1.531,46;1.530,86;;1.651,67;1.671,68;;1.612,51;1.732,64;;1.876,40;
6;1.472,19;1.541,43;1.541,67;;1.645,62;1.667,73;;1.623,27;;1.768,91;1.869,17;
7;1.481,28;1.527,52;1.559,13;1.543,68;1.638,50;;1.704,00;1.641,09;;1.738,81;1.874,43;
8;1.456,68;;;1.529,37;1.667,14;;1.703,54;1.644,91;1.726,57;1.742,87;;
9;1.454,31;;;1.572,35;1.661,70;1.676,09;1.676,44;;1.725,52;1.734,93;;
10;1.445,60;1.540,42;1.551,33;1.556,55;;1.679,75;1.684,48;;1.728,12;1.715,37;1.887,09;
11;;1.550,40;1.538,84;1.569,73;;1.682,24;1.675,40;1.640,71;1.733,41;;1.913,30;
12;;1.523,75;1.533,31;;1.659,11;1.683,59;;1.667,95;1.732,46;;1.923,80;
13;1.447,76;1.529,11;1.558,69;;1.684,18;1.672,82;;1.650,45;;1.733,63;1.923,37;
14;1.449,56;1.566,44;1.600,38;1.594,81;1.686,30;;1.664,57;1.645,06;;1.732,83;1.934,43;
15;1.485,02;;;1.586,51;1.705,19;;1.663,41;1.647,03;1.739,42;1.739,43;;
16;1.466,64;;;1.582,16;1.705,66;1.699,97;1.662,97;;1.753,40;1.735,19;;
17;1.486,80;1.564,78;1.618,84;1.589,40;;1.695,21;1.657,04;;1.768,46;1.749,40;1.933,15;
18;;1.569,58;1.620,57;;;1.690,11;1.633,16;1.659,36;1.764,10;;1.922,19;
19;;1.558,80;1.629,19;;1.703,13;;;1.627,16;1.763,20;;1.896,53;
20;1.492,76;1.553,45;1.624,61;;1.713,69;1.666,47;;1.631,27;;1.777,10;;
21;1.500,80;1.553,24;1.626,02;;1.689,25;;1.648,78;1.624,07;;1.768,02;;
22;1.496,62;;;1.600,74;1.679,00;;1.646,95;1.668,67;1.756,59;1.776,75;;
23;1.493,33;;;1.622,99;1.690,03;1.664,37;1.669,23;;1.772,36;1.784,85;;
24;1.495,27;1.543,83;1.619,82;1.653,21;;1.667,45;1.654,56;;1.770,45;1.785,77;;
25;;1.558,22;1.622,11;1.657,73;;1.647,88;1.650,84;1.675,01;1.752,89;;;
26;;1.548,56;1.630,26;;1.697,76;1.662,80;;1.683,86;1.757,74;;;
27;1.534,50;1.549,62;1.633,13;;1.714,24;1.658,47;;1.699,65;;1.803,99;;
28;1.526,52;1.520,03;1.622,38;1.662,73;1.700,44;;1.630,96;1.724,20;;1.822,91;;
29;1.518,14;;;1.657,66;1.699,74;;1.637,13;1.727,10;1.772,92;1.838,77;;
30;1.553,57;;;1.671,88;1.678,09;1.681,45;1.650,85;;1.775,97;1.845,90;;
31;1.541,43;;1.599,25;;;;1.630,21;;;1.849,26;;
MÍNIMO;1.445,60;1.520,03;1.530,86;1.529,37;1.638,50;1.647,88;1.630,21;1.612,51;1.697,27;1.715,37;1.856,92;
MÍNIMO;1.553,57;1.569,58;1.633,13;1.671,88;1.714,24;1.699,97;1.719,27;1.727,10;1.775,97;1.849,26;1.934,43;
