IDIV - 2017
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;3.538,44;3.810,78;;;3.496,54;;3.701,43;3.963,87;;4.119,68;3.918,93
2;3.226,53;3.546,36;3.769,52;;3.819,69;3.517,95;;3.752,97;;4.139,35;;
3;3.343,09;3.555,49;3.837,41;3.715,19;3.794,31;;3.503,81;3.749,40;;4.246,32;4.092,02;
4;3.353,88;;;3.720,11;3.697,55;;3.508,62;3.757,56;3.973,82;4.249,40;;3.957,49
5;3.347,35;;;3.670,68;3.751,45;3.497,84;3.509,99;;3.987,81;4.265,07;;3.941,24
6;3.331,02;3.514,76;3.841,66;3.626,58;;3.533,71;3.480,88;;4.046,97;4.262,74;4.087,55;3.998,44
7;;3.534,63;3.812,95;3.644,16;;3.568,00;3.469,71;3.804,34;;;3.979,34;3.956,68
8;;3.565,84;3.733,11;;3.744,40;3.532,83;;3.802,56;4.068,03;;4.105,53;3.969,35
9;3.334,07;3.587,77;3.683,52;;3.785,04;3.503,94;;3.768,40;;4.244,05;4.047,54;
10;3.352,18;3.641,78;3.714,53;3.637,00;3.830,70;;3.513,99;3.737,72;;4.312,69;3.989,40;
11;3.355,97;;;3.646,50;3.858,23;;3.561,68;3.749,85;4.141,07;4.311,48;;3.956,23
12;3.439,01;;;3.611,55;3.922,83;3.462,26;3.615,83;;4.134,36;;;4.013,86
13;3.398,44;3.686,65;3.756,36;3.524,29;;3.477,61;3.647,51;;4.141,83;4.325,33;3.989,83;3.979,15
14;;3.667,85;3.720,27;;;3.504,63;3.666,11;3.795,84;4.138,61;;3.914,31;3.955,97
15;;3.740,79;3.778,93;;3.908,22;;;3.794,11;4.210,61;;;3.979,45
16;3.403,54;3.766,33;3.784,28;;3.922,61;3.506,69;;3.802,69;;4.325,61;4.010,37;
17;3.456,27;3.788,66;3.709,46;3.617,89;3.850,84;;3.668,16;3.763,34;;4.290,96;4.056,22;
18;3.423,46;;;3.634,82;3.398,75;;3.682,78;3.809,12;4.218,66;4.310,48;;3.997,83
19;3.406,25;;;3.587,60;3.488,82;3.517,42;3.664,23;;4.212,71;4.290,36;;3.951,80
20;3.443,69;3.831,00;3.698,87;3.608,67;;3.424,73;3.671,71;;4.217,29;4.317,59;;3.977,95
21;;3.882,24;3.613,15;;;3.407,58;3.660,05;3.815,17;4.211,27;;4.109,20;4.038,88
22;;3.879,88;3.659,19;;3.393,10;3.429,02;;3.890,89;4.193,89;;4.093,57;4.031,37
23;3.524,78;3.813,37;3.659,23;;3.461,38;3.407,90;;3.919,60;;4.235,26;4.091,23;
24;3.495,35;3.776,51;3.683,10;3.646,58;3.509,65;;3.651,12;3.943,84;;4.279,53;4.072,63;
25;;;;3.678,91;3.492,81;;3.658,97;3.932,00;4.136,39;4.306,97;;
26;3.570,85;;;3.666,39;3.565,35;3.472,82;3.620,10;;4.130,06;4.276,53;;4.055,78
27;3.559,56;;3.700,80;3.677,04;;3.419,25;3.633,15;;4.082,61;4.273,22;4.059,00;4.070,80
28;;;3.678,39;3.740,97;;3.436,32;3.643,92;3.939,91;4.097,25;;4.053,21;4.072,14
29;;;3.731,36;;3.552,24;3.446,98;;3.947,39;4.145,44;;3.959,22;
30;3.489,29;;3.724,82;;3.576,61;3.484,52;;3.929,44;;4.206,81;3.880,27;
31;3.529,78;;3.706,22;;3.527,21;;3.652,08;3.906,26;;4.157,46;;
MÍNIMO;3.226,53;3.514,76;3.613,15;3.524,29;3.393,10;3.407,58;3.469,71;3.701,43;3.963,87;4.139,35;3.880,27;3.918,93
MÍNIMO;3.570,85;3.882,24;3.841,66;3.740,97;3.922,83;3.568,00;3.682,78;3.947,39;4.218,66;4.325,61;4.119,68;4.072,14
