UTIL - 2025
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;11.741,62;;;13.604,97;12.741,05;13.979,51;15.022,09;;16.936,55
2;10.260,78;;;11.749,85;13.168,89;13.444,76;13.334,21;;13.894,66;14.742,19;;17.280,60
3;10.151,35;11.138,94;;12.015,82;;13.558,53;13.608,20;;13.849,19;14.742,93;15.686,07;17.232,94
4;;11.148,90;;11.856,85;;13.476,45;13.612,72;12.718,94;13.986,81;;15.773,85;17.554,65
5;;11.148,62;11.196,06;;13.034,17;13.405,22;;12.703,25;14.212,41;;16.060,06;16.760,18
6;10.328,46;11.141,17;11.295,42;;13.037,30;13.364,16;;12.919,64;;14.684,27;16.100,01;
7;10.442,22;11.007,44;11.461,38;11.720,30;13.072,48;;13.376,47;13.313,38;;14.412,47;16.126,76;
8;10.293,36;;;11.778,25;13.277,48;;13.276,03;13.423,90;14.141,77;14.455,68;;16.774,94
9;10.344,75;;;11.939,86;13.271,79;13.232,44;13.126,42;;14.160,57;14.435,41;;16.812,71
10;10.266,06;11.069,98;11.490,89;11.937,81;;13.329,17;13.031,79;;14.241,87;14.400,97;16.283,55;16.720,36
11;;11.252,82;11.445,88;12.050,57;;13.310,53;12.995,66;13.366,59;14.345,23;;16.510,41;16.706,69
12;;11.127,91;11.467,94;;13.082,49;13.398,35;;13.857,93;14.333,88;;16.691,48;16.973,63
13;10.288,83;11.246,46;11.638,25;;13.309,20;13.364,12;;13.623,12;;14.504,26;16.656,01;
14;10.287,01;11.569,05;11.766,41;12.228,26;13.310,27;;12.905,78;13.560,71;;14.484,42;16.769,03;
15;10.576,70;;;12.237,51;13.368,90;;12.977,29;13.531,38;14.530,92;14.683,60;;17.250,27
16;10.404,70;;;12.101,02;13.380,54;13.535,10;13.007,31;;14.540,34;14.813,82;;
17;10.553,88;11.635,55;11.860,90;12.273,40;;13.542,99;12.994,24;;14.724,25;14.984,23;16.676,69;
18;;11.527,90;11.883,18;;;13.446,44;12.879,67;13.618,60;14.767,86;;16.598,86;
19;;11.441,93;12.107,35;;13.482,79;;;13.312,44;15.015,27;;16.441,01;
20;10.592,01;11.436,70;12.057,17;;13.595,83;13.335,82;;13.457,68;;15.081,08;;
21;10.659,37;11.455,67;11.943,52;;13.401,73;;12.926,63;13.411,78;;15.043,09;16.416,13;
22;10.690,84;;;12.313,42;13.291,23;;12.800,32;13.668,68;14.828,89;15.028,73;;
23;10.579,69;;;12.557,68;13.401,63;13.302,06;12.958,84;;15.032,36;15.085,37;;
24;10.577,08;11.284,13;11.783,36;12.858,86;;13.407,11;12.820,49;;14.937,00;15.241,85;16.621,83;
25;;11.445,31;11.895,01;12.902,21;;13.226,22;12.702,30;13.747,98;14.752,94;;16.776,85;
26;;11.317,18;11.834,34;;13.480,12;13.314,20;;13.675,34;14.808,86;;17.099,62;
27;10.885,73;11.281,36;11.884,16;;13.665,99;13.261,82;;13.862,13;;15.311,33;17.053,86;
28;10.865,26;11.239,58;11.789,75;12.935,79;13.538,87;;12.561,44;14.016,30;;15.223,61;16.982,91;
29;10.764,80;;;12.908,62;13.684,97;;12.634,01;14.064,41;15.100,37;15.338,62;;
30;11.128,95;;;13.152,98;13.573,29;13.543,77;12.809,98;;15.078,32;15.426,33;;
31;11.035,43;;11.697,38;;;;12.669,62;;;15.475,62;;
MÍNIMO;10.151,35;11.007,44;11.196,06;11.720,30;13.034,17;13.226,22;12.561,44;12.703,25;13.849,19;14.400,97;15.686,07;16.706,69
MÍNIMO;11.128,95;11.635,55;12.107,35;13.152,98;13.684,97;13.558,53;13.612,72;14.064,41;15.100,37;15.475,62;17.099,62;17.554,65
