UTIL - 2015
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;2.841,51;;2.994,13;2.826,30;;2.367,01;2.404,51;;2.455,70
2;2.680,30;2.523,76;2.628,65;2.867,24;;2.994,26;2.851,52;;2.370,86;2.477,75;;2.463,29
3;;2.512,25;2.619,53;;;2.972,20;2.850,21;2.791,66;2.419,42;;2.605,80;2.498,34
4;;2.488,79;2.563,94;;3.009,55;;;2.785,02;2.357,00;;2.651,14;2.443,09
5;2.656,49;2.454,90;2.578,67;;3.090,90;2.957,58;;2.729,88;;2.492,13;2.676,61;
6;2.687,38;2.424,03;2.576,92;2.915,04;3.113,42;;2.841,16;2.680,54;;2.472,75;2.614,60;
7;2.738,62;;;2.877,39;3.097,73;;2.845,09;2.639,92;;2.496,43;;2.437,60
8;2.739,96;;;2.852,45;3.109,99;2.945,50;2.841,90;;2.345,24;2.513,71;;2.417,21
9;2.602,11;2.437,83;2.514,58;2.870,95;;2.933,23;;;2.376,50;2.524,60;2.577,50;2.490,06
10;;2.399,93;2.516,88;2.866,28;;2.947,43;2.857,79;2.628,46;2.380,16;;2.604,48;2.454,87
11;;2.410,73;2.532,33;;3.134,20;2.920,14;;2.637,88;2.418,86;;2.639,81;2.449,87
12;2.561,45;2.492,27;2.599,67;;3.123,89;2.885,77;;2.630,79;;;2.622,72;
13;2.566,96;2.543,55;2.572,60;2.886,75;3.032,06;;2.875,48;2.613,48;;2.530,65;2.622,43;
14;2.606,34;;;2.865,49;3.092,20;;2.913,62;2.600,00;2.481,98;2.488,76;;2.406,89
15;2.602,01;;;2.894,40;3.112,39;2.869,03;2.917,22;;2.486,26;2.520,38;;2.420,99
16;2.666,83;;2.571,58;2.910,08;;2.859,03;2.933,50;;2.560,98;2.497,86;2.608,07;2.440,27
17;;;2.623,50;2.888,21;;2.859,56;2.878,79;2.594,89;2.569,29;;2.598,10;2.462,26
18;;2.590,77;2.678,35;;3.078,30;2.906,74;;2.616,39;2.477,28;;2.622,26;2.392,45
19;2.526,48;2.612,36;2.664,17;;3.075,48;2.893,23;;2.577,86;;2.520,10;2.642,75;
20;2.526,75;2.560,48;2.783,91;2.874,73;3.041,72;;2.868,75;2.571,69;;2.550,81;;
21;2.554,81;;;;2.989,46;;2.855,09;2.500,59;2.465,83;2.508,09;;2.373,52
22;2.529,04;;;2.907,13;2.968,28;2.934,74;2.855,12;;2.443,55;2.555,60;;2.381,17
23;2.455,77;2.549,53;2.798,20;2.946,36;;2.903,42;2.791,99;;2.410,13;2.524,42;2.650,79;2.434,25
24;;2.586,29;2.804,22;2.959,14;;2.836,60;2.724,63;2.397,34;2.388,32;;2.637,11;
25;;2.619,82;2.773,24;;3.019,30;2.782,08;;2.416,74;2.380,76;;2.575,53;
26;2.424,43;2.698,69;2.706,54;;2.974,18;2.842,02;;2.456,52;;2.491,83;2.600,85;
27;2.463,30;2.673,27;2.684,86;2.912,35;3.033,44;;2.720,69;2.516,19;;2.500,47;2.523,13;
28;2.469,44;;;2.966,15;3.001,55;;2.730,91;2.475,55;2.351,73;2.481,53;;2.444,03
29;2.532,35;;;2.946,45;2.931,54;2.811,98;2.702,57;;2.378,41;2.462,22;;2.435,30
30;2.450,27;;2.746,06;2.931,18;;2.833,95;2.743,19;;2.439,27;2.506,08;2.487,34;2.449,37
31;;;2.761,23;;;;2.784,43;2.438,98;;;;
MÍNIMO;2.424,43;2.399,93;2.514,58;2.841,51;2.931,54;2.782,08;2.702,57;2.397,34;2.345,24;2.404,51;2.487,34;2.373,52
MÍNIMO;2.739,96;2.698,69;2.804,22;2.966,15;3.134,20;2.994,26;2.933,50;2.791,66;2.569,29;2.555,60;2.676,61;2.498,34
