SMLL - 2012
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;1.333,07;1.434,89;;;1.251,39;;1.327,58;;1.485,19;1.478,50;
2;1.218,71;1.338,96;1.443,05;1.460,51;1.442,59;;1.298,57;1.316,18;;1.478,23;;
3;1.232,70;1.351,45;;1.459,58;1.447,97;;1.320,72;1.337,12;1.424,97;1.473,31;;1.457,80
4;1.220,95;;;1.457,14;1.440,61;1.242,46;1.327,34;;1.410,51;1.466,75;;1.459,89
5;1.204,35;;1.431,86;1.458,08;;1.225,36;1.327,88;;1.412,55;1.477,10;1.476,36;1.452,52
6;1.208,20;1.350,30;1.404,24;;;1.252,91;1.307,20;1.358,71;1.433,99;;1.496,26;1.466,58
7;;1.357,28;1.425,00;;1.447,81;;;1.352,14;;;1.485,85;1.478,31
8;;1.358,33;1.452,42;;1.438,38;1.261,17;;1.371,29;;1.486,04;1.472,77;
9;1.212,02;1.351,51;1.448,76;1.440,73;1.426,61;;;1.367,48;;1.478,32;1.469,19;
10;1.221,61;1.345,98;;1.419,69;1.423,50;;1.289,10;1.373,64;1.434,48;1.476,04;;1.478,81
11;1.218,53;;;1.404,81;1.428,05;1.258,63;1.284,26;;1.443,82;1.484,94;;1.481,49
12;1.217,22;;1.443,14;1.421,29;;1.276,02;1.270,46;;1.441,13;;1.453,37;1.485,00
13;1.212,40;1.365,86;1.469,72;1.416,02;;1.284,95;1.279,99;1.370,16;1.477,23;;1.449,89;1.479,57
14;;1.364,79;1.468,70;;1.377,77;1.282,16;;1.364,01;1.469,01;;1.433,22;1.484,86
15;;1.388,24;1.461,39;;1.346,66;1.307,50;;1.366,76;;1.499,31;;
16;1.229,14;1.398,64;1.448,51;1.418,94;1.339,27;;1.266,45;1.392,04;;1.500,28;1.423,34;
17;1.235,00;1.407,78;;1.427,74;1.289,22;;1.272,46;1.388,49;1.461,38;1.505,88;;1.499,76
18;1.254,22;;;1.440,48;1.283,16;1.313,49;1.280,93;;1.467,42;1.498,28;;1.514,23
19;1.269,64;;1.450,72;1.444,60;;1.324,45;1.297,36;;1.469,59;1.485,46;1.439,15;1.520,96
20;1.280,59;;1.456,40;1.442,71;;1.325,23;1.277,64;1.394,37;1.472,37;;;1.531,84
21;;;1.456,25;;1.306,32;1.303,88;;1.396,94;1.474,32;;1.428,93;1.530,46
22;;1.410,97;1.436,16;;1.273,38;1.305,77;;1.405,37;;1.479,86;1.439,95;
23;1.280,18;1.407,32;1.440,71;1.420,98;1.262,62;;1.258,82;1.390,50;;1.459,90;1.454,18;
24;1.278,89;1.404,52;;1.428,82;1.263,61;;1.263,11;1.393,11;1.478,07;1.457,91;;
25;;;;1.425,06;1.282,25;1.281,55;1.267,60;;1.471,57;1.457,69;;
26;1.290,50;;1.463,86;1.432,00;;1.272,83;1.288,19;;1.466,95;1.449,03;1.434,14;1.535,70
27;1.290,22;1.397,00;1.458,15;1.444,17;;1.264,23;1.327,78;1.397,58;1.466,29;;1.430,60;1.527,94
28;;1.420,17;1.445,94;;1.309,26;1.255,23;;1.408,01;1.467,21;;1.432,18;1.544,15
29;;1.421,82;1.440,39;;1.296,16;1.294,36;;1.409,44;;1.450,75;1.447,50;
30;1.286,66;;1.448,03;1.443,76;1.277,31;;1.335,94;1.427,18;;1.453,32;1.449,73;
31;1.299,25;;;;1.283,54;;1.320,62;1.425,56;;1.458,69;;
MÍNIMO;1.204,35;1.333,07;1.404,24;1.404,81;1.262,62;1.225,36;1.258,82;1.316,18;1.410,51;1.449,03;1.423,34;1.452,52
MÍNIMO;1.299,25;1.421,82;1.469,72;1.460,51;1.447,97;1.325,23;1.335,94;1.427,18;1.478,07;1.505,88;1.496,26;1.544,15
