UTIL - 2017
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;4.032,92;4.251,84;;;3.705,68;;3.972,88;4.126,23;;4.000,50;3.970,13
2;3.771,43;4.071,42;4.210,74;;3.938,32;3.717,10;;4.001,80;;4.123,77;;
3;3.811,07;4.110,39;4.268,00;4.051,17;3.940,67;;3.823,99;4.023,51;;4.206,46;3.947,10;
4;3.813,06;;;4.046,98;3.844,82;;3.824,87;4.040,53;4.132,55;4.193,24;;4.009,21
5;3.807,36;;;4.018,50;3.872,94;3.703,28;3.851,84;;4.152,02;4.216,83;;3.992,69
6;3.783,33;4.063,18;4.291,03;3.954,17;;3.732,94;3.905,83;;4.171,58;4.183,65;3.976,10;4.013,00
7;;4.069,63;4.298,15;3.970,35;;3.733,11;3.892,73;4.072,14;;;3.918,20;3.974,02
8;;4.102,29;4.206,69;;3.853,90;3.694,06;;4.038,41;4.214,39;;4.002,00;3.981,25
9;3.789,20;4.089,34;4.062,98;;3.891,65;3.709,00;;4.035,54;;4.176,34;3.953,24;
10;3.790,51;4.139,41;4.090,94;3.939,69;3.880,51;;3.921,33;3.973,04;;4.199,12;3.924,78;
11;3.789,12;;;3.983,87;3.899,39;;3.925,49;3.978,86;4.279,83;4.184,02;;3.995,57
12;3.953,64;;;3.949,36;3.942,78;3.693,13;3.972,78;;4.307,69;;;4.024,96
13;3.958,06;4.188,66;4.146,97;3.893,84;;3.710,60;3.997,38;;4.287,73;4.175,20;3.958,90;3.995,28
14;;4.142,54;4.064,51;;;3.723,37;3.992,92;3.984,67;4.274,45;;3.911,81;3.959,86
15;;4.219,69;4.114,30;;3.938,98;;;3.959,99;4.292,82;;;4.006,85
16;3.944,93;4.245,64;4.114,11;;3.964,19;3.765,17;;3.966,64;;4.132,92;3.988,12;
17;4.005,77;4.236,75;4.069,29;3.939,87;3.914,15;;4.003,95;3.937,08;;4.109,78;4.008,23;
18;3.955,14;;;3.938,40;3.560,72;;4.016,58;3.953,16;4.306,22;4.135,59;;3.989,33
19;3.956,69;;;3.916,01;3.618,52;3.742,85;3.989,07;;4.274,43;4.119,73;;3.950,58
20;3.997,78;4.254,80;4.001,32;3.886,38;;3.698,52;3.986,14;;4.290,80;4.132,11;;3.971,31
21;;4.288,55;3.930,58;;;3.690,47;3.994,95;3.955,93;4.228,36;;4.065,15;4.022,38
22;;4.246,92;3.956,63;;3.543,43;3.755,97;;4.142,83;4.226,00;;4.109,82;4.043,43
23;4.062,24;4.231,90;3.967,71;;3.605,98;3.728,99;;4.103,81;;4.086,18;4.130,88;
24;4.062,21;4.224,77;4.028,78;3.856,02;3.685,50;;3.994,33;4.125,31;;4.103,26;4.122,97;
25;;;;3.880,50;3.685,42;;4.001,66;4.124,17;4.150,97;4.110,31;;
26;4.079,57;;;3.874,79;3.732,10;3.769,67;3.967,46;;4.150,77;4.115,68;;4.078,15
27;4.051,53;;4.008,90;3.842,98;;3.737,88;3.982,09;;4.096,07;4.128,25;4.108,77;4.102,09
28;;;3.993,61;3.884,41;;3.773,42;3.958,51;4.099,81;4.089,72;;4.090,24;4.150,03
29;;;4.009,20;;3.725,90;3.750,21;;4.099,43;4.118,68;;4.011,22;
30;3.973,82;;4.003,14;;3.756,99;3.795,65;;4.107,73;;4.072,89;3.974,40;
31;4.033,28;;4.034,03;;3.729,43;;3.950,67;4.089,47;;4.030,66;;
MÍNIMO;3.771,43;4.032,92;3.930,58;3.842,98;3.543,43;3.690,47;3.823,99;3.937,08;4.089,72;4.030,66;3.911,81;3.950,58
MÍNIMO;4.079,57;4.288,55;4.298,15;4.051,17;3.964,19;3.795,65;4.016,58;4.142,83;4.307,69;4.216,83;4.130,88;4.150,03
