IBLV - 2015
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;8.699,46;;8.639,71;8.686,52;;7.791,66;7.947,01;;8.192,22
2;7.886,67;7.995,81;8.449,38;8.787,67;;8.735,53;8.703,74;;7.863,54;8.156,02;;8.197,91
3;;8.030,50;8.463,82;;;8.671,92;8.676,03;8.646,96;7.991,02;;8.527,07;8.388,01
4;;7.975,93;8.366,53;;9.005,57;;;8.640,25;7.891,31;;8.550,39;8.237,32
5;7.772,72;8.021,80;8.388,29;;9.003,27;8.630,81;;8.650,50;;8.217,13;8.608,94;
6;7.862,49;7.971,13;8.356,82;8.891,05;8.986,50;;8.676,26;8.510,70;;8.208,92;8.484,98;
7;8.018,59;;;8.830,69;8.986,50;;8.680,58;8.343,32;;8.309,88;;8.313,60
8;8.023,06;;;8.843,43;9.092,33;8.652,07;8.622,68;;7.872,85;8.341,47;;8.198,36
9;7.848,35;8.008,29;8.246,71;8.837,25;;8.610,48;;;7.834,60;8.405,42;8.367,11;8.425,74
10;;7.958,48;8.178,58;8.900,65;;8.724,14;8.714,86;8.461,95;7.803,36;;8.348,08;8.338,06
11;;7.922,15;8.193,06;;9.033,51;8.645,52;;8.426,43;7.857,00;;8.490,66;8.307,58
12;7.834,93;8.028,71;8.217,04;;8.997,48;8.608,03;;8.249,21;;;8.498,59;
13;7.806,69;8.143,65;8.180,41;8.890,56;9.029,55;;8.733,96;8.268,58;;8.231,39;8.498,91;
14;7.796,10;;;8.819,86;9.060,18;;8.777,20;8.212,13;8.053,36;8.089,11;;8.184,42
15;7.847,82;;;8.876,88;9.113,73;8.599,58;8.817,69;;8.053,30;8.151,78;;8.127,71
16;7.994,15;;8.210,34;8.842,99;;8.605,99;8.872,29;;8.230,89;8.208,93;8.491,98;8.155,32
17;;;8.374,37;8.746,97;;8.572,11;8.791,88;8.230,99;8.243,27;;8.551,47;8.206,54
18;;8.268,53;8.520,57;;9.005,02;8.662,63;;8.256,91;8.040,86;;8.561,86;7.959,51
19;7.817,43;8.335,13;8.515,09;;8.963,82;8.643,20;;8.162,94;;8.285,99;8.651,25;
20;7.800,62;8.305,54;8.627,43;8.710,03;8.904,87;;8.735,28;8.159,35;;8.231,98;;
21;8.012,44;;;;8.923,54;;8.773,47;7.986,73;7.987,94;8.208,45;;7.897,74
22;8.029,14;;;8.780,65;8.846,02;8.625,88;8.731,73;;8.004,94;8.332,95;;7.924,37
23;8.001,02;8.349,84;8.593,57;8.861,87;;8.645,64;8.568,30;;7.876,20;8.319,15;8.654,70;8.016,60
24;;8.372,71;8.548,79;8.837,28;;8.611,18;8.495,92;7.771,86;7.852,57;;8.631,17;
25;;8.426,91;8.606,57;;8.886,94;8.604,61;;7.824,72;7.834,55;;8.476,89;
26;7.960,18;8.503,48;8.456,97;;8.718,33;8.666,40;;8.011,20;;8.306,47;8.553,93;
27;7.924,92;8.475,68;8.446,97;8.751,01;8.751,64;;8.416,87;8.154,62;;8.332,81;8.356,56;
28;7.949,93;;;8.767,11;8.753,95;;8.477,79;8.107,13;7.766,82;8.281,34;;7.994,51
29;8.021,63;;;8.780,99;8.581,06;8.575,87;8.556,30;;7.814,54;8.128,41;;7.948,65
30;7.945,12;;8.606,59;8.962,09;;8.620,72;8.580,39;;7.936,56;8.125,01;8.180,16;7.911,98
31;;;8.583,46;;;;8.733,71;7.990,56;;;;
MÍNIMO;7.772,72;7.922,15;8.178,58;8.699,46;8.581,06;8.572,11;8.416,87;7.771,86;7.766,82;7.947,01;8.180,16;7.897,74
MÍNIMO;8.029,14;8.503,48;8.627,43;8.962,09;9.113,73;8.735,53;8.872,29;8.650,50;8.243,27;8.405,42;8.654,70;8.425,74
