IDIV - 2024
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;8.800,91;8.839,45;8.712,06;;;8.796,62;8.927,18;;9.494,85;9.216,62;
2;8.994,39;8.723,77;;8.749,09;8.842,02;;8.805,79;8.830,15;9.506,60;9.590,22;;9.262,12
3;9.015,78;;;8.753,79;8.962,52;8.610,96;8.841,93;;9.481,70;9.460,84;;9.334,46
4;8.930,03;;8.764,73;8.794,13;;8.601,34;8.909,38;;9.620,44;9.440,62;9.354,28;9.325,34
5;8.963,57;8.755,53;8.753,29;8.741,12;;8.566,60;8.895,53;8.807,30;9.637,32;;9.343,58;9.429,60
6;;8.894,55;8.758,38;;8.943,27;8.646,70;;8.868,84;9.568,39;;9.366,36;9.302,11
7;;8.923,79;8.762,10;;8.914,26;8.504,57;;8.882,10;;9.464,67;9.367,47;
8;8.970,12;8.782,00;8.686,95;8.874,09;8.937,54;;8.904,97;8.942,23;;9.385,93;9.263,58;
9;8.909,94;8.740,80;;8.943,56;8.837,95;;8.929,60;9.039,05;9.565,95;9.288,88;;9.420,65
10;8.856,92;;;8.844,40;8.789,40;8.474,36;8.938,28;;9.536,64;9.308,16;;9.472,01
11;8.842,01;;8.620,67;8.816,68;;8.549,17;9.035,53;;9.543,57;9.250,57;9.275,16;9.544,27
12;8.847,27;;8.677,53;8.694,48;;8.448,68;9.071,39;9.093,76;9.503,43;;9.195,86;9.305,96
13;;;8.657,66;;8.871,70;8.452,36;;9.166,29;9.580,61;;9.183,93;9.205,25
14;;8.702,20;8.597,37;;8.890,56;8.437,80;;9.293,51;;9.305,99;9.219,66;
15;8.883,70;8.778,42;8.561,74;8.715,34;8.908,55;;9.088,34;9.277,74;;9.301,64;;
16;8.752,81;8.845,74;;8.626,93;8.932,56;;9.116,81;9.256,02;9.623,89;9.351,12;;9.158,73
17;8.727,01;;;8.647,45;8.900,64;8.400,15;9.188,77;;9.585,33;9.314,79;;9.241,54
18;8.669,94;;8.602,15;8.645,58;;8.463,49;9.054,14;;9.493,71;9.321,96;9.242,12;8.967,27
19;8.685,19;8.876,38;8.643,31;8.734,32;;8.510,17;9.003,32;9.423,51;9.446,40;;9.284,74;8.966,86
20;;8.892,32;8.745,84;;8.915,68;8.560,48;;9.446,81;9.315,47;;;9.008,68
21;;8.847,95;8.725,09;;8.950,18;8.623,28;;9.499,90;;9.308,57;9.197,44;
22;8.637,85;8.882,82;8.683,41;8.762,36;8.846,12;;9.073,84;9.419,06;;9.267,47;9.347,55;
23;8.747,58;8.817,14;;8.667,46;8.782,55;;8.927,14;9.481,82;9.314,41;9.223,22;;8.860,52
24;8.773,43;;;8.618,76;8.772,89;8.712,98;8.908,04;;9.424,46;9.263,50;;
25;8.795,46;;8.640,53;8.578,05;;8.699,99;8.867,84;;9.401,22;9.287,72;9.383,90;
26;8.836,14;8.815,77;8.623,78;8.673,84;;8.711,50;8.923,89;9.520,74;9.524,52;;9.415,62;8.876,76
27;;8.939,95;8.709,76;;8.780,57;8.783,55;;9.466,30;9.484,31;;9.325,54;8.822,70
28;;8.871,17;8.728,29;;8.733,65;8.764,70;;9.508,32;;9.366,40;9.168,49;
29;8.791,56;8.834,66;;8.735,40;8.672,10;;8.907,36;9.486,12;;9.308,91;9.289,96;
30;8.728,54;;;8.679,24;;;8.882,99;9.527,89;9.459,34;9.338,78;;8.835,83
31;8.755,32;;;;8.593,39;;8.930,76;;;9.296,34;;
MÍNIMO;8.637,85;8.702,20;8.561,74;8.578,05;8.593,39;8.400,15;8.796,62;8.807,30;9.314,41;9.223,22;9.168,49;8.822,70
MÍNIMO;9.015,78;8.939,95;8.839,45;8.943,56;8.962,52;8.783,55;9.188,77;9.527,89;9.637,32;9.590,22;9.415,62;9.544,27
