IBLV - 2005
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;1.905,71;2.128,39;2.036,49;;1.984,06;2.012,82;2.048,52;2.186,25;;2.391,45;2.552,75
2;;1.942,98;2.150,73;;1.907,21;2.034,89;;2.081,18;2.210,89;;;2.569,64
3;2.055,01;1.965,70;2.191,51;;1.908,79;2.040,03;;2.065,62;;2.435,61;2.376,25;
4;1.999,04;2.032,09;2.222,62;2.012,36;1.966,54;;1.987,96;2.043,33;;2.429,35;2.371,85;
5;1.977,03;;;1.990,49;1.951,94;;1.973,65;2.034,41;2.220,42;2.351,50;;2.564,53
6;1.957,27;;;1.969,12;1.972,39;2.002,88;1.967,07;;2.262,81;2.273,77;;2.588,70
7;1.979,06;;2.246,78;2.005,59;;1.976,34;1.958,79;;;2.310,51;2.387,96;2.545,30
8;;;2.229,24;1.982,55;;1.963,01;1.955,22;2.050,97;2.257,49;;2.393,35;2.518,99
9;;2.073,84;2.195,89;;1.972,85;1.957,14;;2.097,97;2.290,07;;2.381,23;2.545,54
10;1.946,86;2.076,26;2.205,38;;1.935,27;1.977,52;;2.098,31;;2.313,27;2.383,94;
11;1.947,48;2.093,84;2.176,58;1.983,74;1.917,90;;1.982,25;2.080,46;;2.331,94;2.370,89;
12;1.939,16;;;2.002,67;1.872,22;;1.998,82;2.106,48;2.282,12;;;2.553,41
13;1.955,47;;;1.992,02;1.868,45;1.974,61;2.026,19;;2.267,79;2.259,65;;2.578,33
14;1.963,92;2.092,13;2.169,45;1.919,26;;2.032,01;2.027,39;;2.271,81;2.272,46;2.363,30;2.601,24
15;;2.101,20;2.128,05;1.897,71;;2.016,29;1.989,31;2.140,31;2.265,82;;;2.585,79
16;;2.059,63;2.137,73;;1.905,87;2.029,08;;2.127,17;2.275,56;;2.394,89;2.596,04
17;1.929,18;2.092,05;2.159,35;;1.903,28;2.046,45;;2.154,82;;2.328,95;2.426,70;
18;1.909,88;2.066,21;2.125,87;1.906,46;1.936,02;;1.992,59;2.124,76;;2.253,45;2.420,83;
19;1.923,94;;;1.936,70;1.931,32;;1.992,29;2.109,52;2.292,63;2.239,16;;2.586,80
20;1.878,54;;;1.904,24;1.909,98;2.047,02;2.008,02;;2.316,01;2.205,91;;2.573,20
21;1.886,24;2.071,03;2.101,98;;;2.021,89;2.021,29;;2.342,88;2.265,80;2.425,01;2.609,38
22;;2.070,95;2.056,22;1.885,79;;2.017,70;1.997,46;2.145,29;2.328,26;;2.468,79;2.605,72
23;;2.098,96;2.016,78;;1.889,74;1.978,15;;2.111,30;2.362,74;;2.510,01;2.599,31
24;1.907,67;2.190,38;2.056,85;;1.905,33;1.983,01;;2.115,20;;2.312,41;2.504,31;
25;;2.174,01;;1.918,57;1.900,19;;1.952,50;2.152,09;;2.279,30;2.501,23;
26;1.925,81;;;1.934,24;;;1.968,06;2.130,81;2.354,21;2.309,11;;2.584,53
27;1.895,74;;;1.926,75;1.946,95;2.000,51;2.007,29;;2.328,01;2.270,59;;2.602,37
28;1.887,75;2.136,34;2.026,85;1.884,98;;2.008,76;2.052,28;;2.372,68;2.283,53;2.470,06;2.593,74
29;;;1.987,32;1.891,16;;2.002,18;2.033,34;2.144,99;2.367,16;;2.478,89;2.604,28
30;;;2.023,19;;1.951,29;1.999,64;;2.147,16;2.406,24;;2.493,16;
31;1.914,61;;2.036,00;;1.932,62;;;2.179,87;;2.354,80;;
MÍNIMO;1.878,54;1.905,71;1.987,32;1.884,98;1.868,45;1.957,14;1.952,50;2.034,41;2.186,25;2.205,91;2.363,30;2.518,99
MÍNIMO;2.055,01;2.190,38;2.246,78;2.036,49;1.972,85;2.047,02;2.052,28;2.179,87;2.406,24;2.435,61;2.510,01;2.609,38
