IBLV - 2018
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;12.631,78;12.319,30;;;10.935,48;;10.823,38;;10.477,65;11.595,93;
2;11.981,17;12.462,20;12.398,22;12.122,78;11.729,60;;10.252,88;10.838,82;;10.797,65;;
3;11.933,09;;;12.116,63;11.492,56;;10.345,99;10.995,88;10.541,19;11.008,21;;11.904,32
4;11.973,19;;;12.095,48;11.369,08;11.020,98;10.451,27;;10.424,55;10.968,08;;11.813,66
5;12.068,29;12.193,87;12.372,61;12.098,07;;10.728,64;10.400,76;;10.412,65;10.862,65;11.724,23;11.880,40
6;;12.356,43;12.289,38;11.984,79;;10.593,99;10.415,26;10.921,43;10.584,13;;11.661,62;11.899,87
7;;12.281,21;12.365,61;;11.297,71;10.312,69;;10.807,42;;;11.566,32;11.822,59
8;12.089,74;12.062,32;12.348,45;;11.285,50;10.374,22;;10.705,28;;11.244,35;11.357,88;
9;12.053,77;11.944,86;12.462,60;11.845,24;11.239,99;;;10.656,87;;11.203,90;11.444,95;
10;11.921,35;;;11.964,58;11.492,47;;10.415,74;10.411,99;10.572,96;10.991,94;;11.672,87
11;12.014,75;;;11.973,45;11.425,21;10.268,75;10.399,32;;10.373,25;10.872,97;;11.780,22
12;12.044,77;;12.510,35;11.951,24;;10.260,77;10.502,34;;10.408,51;;11.387,59;11.855,06
13;;;12.429,67;11.843,81;;10.211,40;10.644,07;10.530,44;10.330,80;;11.367,02;11.952,67
14;;12.261,47;12.363,16;;11.247,60;10.123,47;;10.697,59;10.382,50;;11.557,86;11.940,64
15;12.108,84;12.309,22;12.212,84;;11.176,38;10.134,55;;10.653,81;;10.883,77;;
16;12.106,38;12.336,06;12.177,42;11.712,97;11.369,37;;10.688,72;10.659,76;;11.142,88;11.816,24;
17;12.222,88;;;11.864,95;11.050,70;;10.863,22;10.560,59;10.514,59;11.149,82;;11.723,83
18;12.224,04;;;11.981,92;10.971,92;10.061,93;10.749,01;;10.576,74;11.025,60;;11.798,16
19;12.247,11;12.267,79;12.148,06;11.936,84;;10.221,50;10.795,44;;10.490,51;11.036,37;11.693,14;11.711,17
20;;12.432,14;12.131,68;11.879,39;;10.257,17;10.870,58;10.593,21;10.506,90;;;11.725,99
21;;12.486,11;12.123,36;;10.889,36;10.057,40;;10.455,41;10.636,96;;11.662,82;11.834,48
22;12.294,16;12.476,14;12.152,33;;11.123,09;10.122,49;;10.615,02;;11.130,71;11.681,03;
23;12.163,06;12.566,62;12.105,85;11.830,02;10.897,36;;10.736,83;10.484,03;;11.147,31;11.659,52;
24;12.494,67;;;11.805,83;10.984,01;;10.871,62;10.543,77;10.447,97;10.960,58;;
25;;;;11.812,17;10.892,93;10.224,49;10.984,65;;10.420,54;11.022,14;;
26;12.686,49;12.535,42;12.163,89;12.000,26;;10.246,50;10.845,16;;10.489,45;11.107,70;11.593,04;11.738,66
27;;12.416,95;12.100,98;12.033,72;;10.075,99;10.863,75;10.715,03;10.648,60;;11.902,99;11.822,82
28;;12.260,59;12.074,17;;10.548,16;10.155,77;;10.650,52;10.565,23;;11.994,41;12.075,46
29;12.536,48;;12.233,60;;10.570,62;10.251,56;;10.760,69;;10.979,94;12.014,93;
30;12.533,96;;;11.948,40;10.721,36;;10.863,69;10.541,69;;11.459,11;11.921,52;
31;12.564,26;;;;;;10.753,14;10.578,32;;11.438,30;;
MÍNIMO;11.921,35;11.944,86;12.074,17;11.712,97;10.548,16;10.057,40;10.252,88;10.411,99;10.330,80;10.477,65;11.357,88;11.672,87
MÍNIMO;12.686,49;12.631,78;12.510,35;12.122,78;11.729,60;11.020,98;10.984,65;10.995,88;10.648,60;11.459,11;12.014,93;12.075,46
