Date,Close
2018-01-02,1000.0
2018-01-03,1000.44
2018-01-04,1009.83
2018-01-05,1015.45
2018-01-08,1018.23
2018-01-09,1011.51
2018-01-10,1003.79
2018-01-11,1017.42
2018-01-12,1016.75
2018-01-15,1022.19
2018-01-16,1020.64
2018-01-17,1035.24
2018-01-18,1032.9
2018-01-19,1036.95
2018-01-22,1042.19
2018-01-23,1028.14
2018-01-24,1061.76
2018-01-26,1082.15
2018-01-29,1070.6
2018-01-30,1070.19
2018-01-31,1074.74
2018-02-01,1077.7
2018-02-02,1060.52
2018-02-05,1035.34
2018-02-06,1057.0
2018-02-07,1043.7
2018-02-08,1029.9
2018-02-09,1023.18
2018-02-14,1057.75
2018-02-15,1066.92
2018-02-16,1069.52
2018-02-19,1071.41
2018-02-20,1082.21
2018-02-21,1086.59
2018-02-22,1091.01
2018-02-23,1096.34
2018-02-26,1098.42
2018-02-27,1088.01
2018-02-28,1065.51
2018-03-01,1068.21
2018-03-02,1070.52
2018-03-05,1069.9
2018-03-06,1064.8
2018-03-07,1064.74
2018-03-08,1056.84
2018-03-09,1072.7
2018-03-12,1080.95
2018-03-13,1075.57
2018-03-14,1071.29
2018-03-15,1059.96
2018-03-16,1057.93
2018-03-19,1048.04
2018-03-20,1050.03
2018-03-21,1055.92
2018-03-22,1055.11
2018-03-23,1048.9
2018-03-26,1056.85
2018-03-27,1043.34
2018-03-28,1046.33
2018-03-29,1066.02
2018-04-02,1060.76
2018-04-03,1061.21
2018-04-04,1058.72
2018-04-05,1064.27
2018-04-06,1058.8
2018-04-09,1043.7
2018-04-10,1056.99
2018-04-11,1064.78
2018-04-12,1067.54
2018-04-13,1056.32
2018-04-16,1042.06
2018-04-17,1057.05
2018-04-18,1076.12
2018-04-19,1074.68
2018-04-20,1071.48
2018-04-23,1072.43
2018-04-24,1072.4
2018-04-25,1069.92
2018-04-26,1082.91
2018-04-27,1082.28
2018-04-30,1077.92
2018-05-02,1056.8
2018-05-03,1040.57
2018-05-04,1039.72
2018-05-07,1032.23
2018-05-08,1033.46
2018-05-09,1039.07
2018-05-10,1057.43
2018-05-11,1049.61
2018-05-14,1046.38
2018-05-15,1042.51
2018-05-16,1059.01
2018-05-17,1025.95
2018-05-18,1019.95
2018-05-21,1006.34
2018-05-22,1020.72
2018-05-23,1002.41
2018-05-24,1012.68
2018-05-25,996.88
2018-05-28,965.03
2018-05-29,961.19
2018-05-30,970.37
2018-06-01,994.77
2018-06-04,1006.57
2018-06-05,985.93
2018-06-06,981.28
2018-06-07,952.1
2018-06-08,942.07
2018-06-11,931.97
2018-06-12,937.58
2018-06-13,930.15
2018-06-14,921.31
2018-06-15,913.24
2018-06-18,902.84
2018-06-19,919.23
2018-06-20,924.62
2018-06-21,902.16
2018-06-22,910.15
2018-06-25,910.8
2018-06-26,915.08
2018-06-27,901.64
2018-06-28,917.22
2018-06-29,927.95
2018-07-02,926.18
2018-07-03,937.72
2018-07-04,946.04
2018-07-05,948.12
2018-07-06,954.51
2018-07-10,953.5
2018-07-11,947.58
2018-07-12,965.56
2018-07-13,975.11
2018-07-16,977.27
2018-07-17,994.78
2018-07-18,985.38
2018-07-19,985.46
2018-07-20,995.19
2018-07-23,986.82
2018-07-24,1001.21
2018-07-25,1014.3
2018-07-26,1007.61
2018-07-27,1011.98
2018-07-30,1017.85
2018-07-31,1003.3
2018-08-01,1002.28
2018-08-02,1004.81
2018-08-03,1025.58
2018-08-06,1020.23
2018-08-07,1012.34
2018-08-08,998.72
2018-08-09,991.25
2018-08-10,964.83
2018-08-13,976.58
2018-08-14,991.7
2018-08-15,974.1
2018-08-16,969.49
2018-08-17,961.77
2018-08-20,967.95
2018-08-21,956.25
2018-08-22,977.04
2018-08-23,962.46
2018-08-24,969.99
2018-08-27,990.64
2018-08-28,985.89
2018-08-29,992.59
2018-08-30,968.17
2018-08-31,969.65
2018-09-03,965.66
2018-09-04,946.07
2018-09-05,950.74
2018-09-06,967.82
2018-09-10,967.04
2018-09-11,947.08
2018-09-12,950.55
2018-09-13,946.69
2018-09-14,957.56
2018-09-17,973.08
2018-09-18,988.76
2018-09-19,989.17
2018-09-20,988.82
2018-09-21,1004.99
2018-09-24,985.25
2018-09-25,994.49
2018-09-26,994.43
2018-09-27,1005.57
2018-09-28,999.24
2018-10-01,990.94
2018-10-02,1019.04
2018-10-03,1033.87
2018-10-04,1025.59
2018-10-05,1014.81
2018-10-08,1047.11
2018-10-09,1044.27
2018-10-10,1017.2
2018-10-11,1010.27
2018-10-15,1012.11
2018-10-16,1038.91
2018-10-17,1041.43
2018-10-18,1019.08
2018-10-19,1021.82
2018-10-22,1037.71
2018-10-23,1035.86
2018-10-24,1007.98
2018-10-25,1016.96
2018-10-26,1030.39
2018-10-29,1009.91
2018-10-30,1044.71
2018-10-31,1055.6
2018-11-01,1072.01
2018-11-05,1083.01
2018-11-06,1076.06
2018-11-07,1068.75
2018-11-08,1045.11
2018-11-09,1043.63
2018-11-12,1041.65
2018-11-13,1040.74
2018-11-14,1051.83
2018-11-16,1082.63
2018-11-19,1072.07
2018-11-21,1067.13
2018-11-22,1068.59
2018-11-23,1053.46
2018-11-26,1043.55
2018-11-27,1069.18
2018-11-28,1089.87
2018-11-29,1097.85
2018-11-30,1094.24
2018-12-03,1095.89
2018-12-04,1082.21
2018-12-05,1086.4
2018-12-06,1089.67
2018-12-07,1076.83
2018-12-10,1053.97
2018-12-11,1061.6
2018-12-12,1069.34
2018-12-13,1080.27
2018-12-14,1076.6
2018-12-17,1063.31
2018-12-18,1071.42
2018-12-19,1057.67
2018-12-20,1055.44
2018-12-21,1062.05
2018-12-26,1049.34
2018-12-27,1052.6
2018-12-28,1080.51
2019-01-02,1113.39
2019-01-03,1116.34
2019-01-04,1119.69
2019-01-07,1115.62
2019-01-08,1122.11
2019-01-09,1143.08
2019-01-10,1145.46
2019-01-11,1143.81
2019-01-14,1154.95
2019-01-15,1150.07
2019-01-16,1155.23
2019-01-17,1166.65
2019-01-18,1175.87
2019-01-21,1173.8
2019-01-22,1162.89
2019-01-23,1180.92
2019-01-24,1196.07
2019-01-28,1168.47
2019-01-29,1164.18
2019-01-30,1181.89
2019-01-31,1185.81
2019-02-01,1190.12
2019-02-04,1198.71
2019-02-05,1192.25
2019-02-06,1146.3
2019-02-07,1145.73
2019-02-08,1159.45
2019-02-11,1150.95
2019-02-12,1168.07
2019-02-13,1160.99
2019-02-14,1184.38
2019-02-15,1178.47
2019-02-18,1165.19
2019-02-19,1178.25
2019-02-20,1165.46
2019-02-21,1168.4
2019-02-22,1183.03
2019-02-25,1178.02
2019-02-26,1183.71
2019-02-27,1176.14
2019-02-28,1155.24
2019-03-01,1143.71
2019-03-06,1138.26
2019-03-07,1142.33
2019-03-08,1155.77
2019-03-11,1183.8
2019-03-12,1182.99
2019-03-13,1193.32
2019-03-14,1188.27
2019-03-15,1193.7
2019-03-18,1203.53
2019-03-19,1195.61
2019-03-20,1174.9
2019-03-21,1160.76
2019-03-22,1130.8
2019-03-25,1127.24
2019-03-26,1141.43
2019-03-27,1104.46
2019-03-28,1134.52
2019-03-29,1147.87
2019-04-01,1157.77
2019-04-02,1147.53
2019-04-03,1138.76
2019-04-04,1158.65
2019-04-05,1167.58
2019-04-08,1168.01
2019-04-09,1154.94
2019-04-10,1150.41
2019-04-11,1137.69
2019-04-12,1128.34
2019-04-15,1130.67
2019-04-16,1141.98
