Ativo;Retorno Anualizado;Volatilidade;Sharpe;Max Drawdown
Minha Carteira;0,2241760365241936;0,12443061703076984;0,6895821034562397;-0,27660989927049373
IMID BRL 60/40;0,1682365443362328;0,12531691329468736;0,6011823147759845;-0,17656910952975435
IMID BRL;0,19749053132043803;0,2095177995827229;0,5436824168326881;-0,32082761662628156
S&P 500 BRL;0,18399918601582055;0,20934906660547054;0,49756283011025626;-0,3073414289848584
TD IPCA 2035;0,13491886388656904;0,17766152889623937;0,3055209248372735;-0,2202730948799595
