IBLV - 2021
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;16.391,24;15.114,00;16.114,49;;17.174,74;16.299,42;;16.287,89;15.630,54;15.317,03;15.303,70
2;;16.498,63;15.252,80;;;17.222,52;16.444,96;16.069,65;15.964,97;;;15.688,32
3;;16.678,97;15.273,71;;16.292,91;;;16.159,13;16.013,25;;15.598,02;15.739,13
4;16.369,75;16.591,43;15.510,53;;16.160,40;17.232,48;;16.021,79;;15.363,14;15.403,63;
5;16.328,78;16.655,60;15.679,25;16.360,94;16.324,63;;16.399,13;15.848,27;;15.390,45;15.521,36;
6;16.198,08;;;16.417,18;16.327,62;;16.237,42;16.000,45;16.175,31;15.374,54;;15.802,67
7;16.297,72;;;16.413,85;16.519,44;17.412,74;16.463,09;;;15.320,49;;15.751,58
8;16.873,94;16.592,16;15.122,12;16.476,59;;17.211,56;16.234,46;;15.638,79;15.601,37;15.498,14;15.832,67
9;;16.545,11;15.219,66;16.333,03;;17.223,89;;16.130,26;15.937,22;;15.583,76;15.637,15
10;;16.429,85;15.395,02;;16.477,64;17.377,06;;15.938,73;15.812,04;;15.747,18;15.795,70
11;16.611,56;16.580,46;15.572,58;;16.594,80;17.150,80;;15.864,11;;15.609,90;15.857,35;
12;16.812,89;16.516,88;15.552,85;16.497,86;16.166,47;;16.451,46;15.710,93;;;15.799,65;
13;16.784,52;;;16.478,58;16.328,18;;16.502,99;15.891,41;16.031,57;15.777,94;;15.775,85
14;16.999,81;;;16.443,62;16.527,46;17.282,13;16.555,16;;16.040,77;15.735,70;;15.794,71
15;16.816,96;;15.723,87;16.514,80;;17.271,61;16.419,79;;15.840,67;15.919,27;;15.880,21
16;;;15.729,78;16.654,23;;17.150,48;16.317,75;15.837,61;15.753,96;;15.638,70;15.881,32
17;;16.403,08;16.047,53;;16.604,91;17.092,38;;15.721,33;15.577,66;;15.446,86;15.831,59
18;16.792,83;16.254,58;15.892,85;;16.558,78;17.094,25;;15.616,68;;15.981,46;15.435,61;
19;16.725,15;16.266,65;16.126,83;16.565,56;16.675,98;;16.188,37;15.868,02;;15.577,69;15.594,00;
20;16.527,41;;;16.607,09;16.718,16;;16.282,08;16.104,82;15.374,40;15.638,16;;15.635,40
21;16.384,83;;;;16.734,50;17.082,43;16.291,39;;15.477,49;15.329,63;;15.612,70
22;16.240,56;15.770,66;16.026,76;16.484,49;;16.980,87;16.344,82;;15.657,65;15.194,43;15.453,57;15.605,23
23;;15.892,93;15.922,57;16.598,95;;16.829,74;16.223,16;16.009,06;15.819,42;;15.593,18;15.590,63
24;;15.843,89;15.697,36;;16.874,42;16.928,16;;16.245,71;15.716,70;;15.653,97;
25;;15.492,49;15.941,51;;16.792,86;16.614,07;;16.332,73;;15.422,21;15.823,49;
26;16.201,24;15.242,24;16.037,40;16.475,72;16.822,24;;16.254,41;16.056,75;;15.237,70;15.470,55;
27;16.147,05;;;16.317,57;16.885,14;;16.170,34;16.170,73;15.758,69;15.306,72;;15.661,41
28;16.442,92;;;16.480,99;16.926,35;16.695,02;16.366,02;;15.485,31;15.171,68;;15.622,64
29;16.026,80;;16.141,48;16.501,95;;16.571,13;16.230,05;;15.612,53;15.126,13;15.500,91;15.524,03
30;;;16.363,85;16.303,36;;16.422,94;15.887,67;16.108,98;15.534,06;;15.424,85;15.652,89
31;;;16.334,47;;16.939,36;;;16.146,87;;;;
MÍNIMO;16.026,80;15.242,24;15.114,00;16.114,49;16.160,40;16.422,94;15.887,67;15.616,68;15.374,40;15.126,13;15.317,03;15.303,70
MÍNIMO;16.999,81;16.678,97;16.363,85;16.654,23;16.939,36;17.412,74;16.555,16;16.332,73;16.287,89;15.981,46;15.857,35;15.881,32
