IBSD - 2021
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;1.132,13;1.014,38;1.086,38;;1.249,86;1.195,81;;1.171,87;1.129,36;1.069,67;1.061,24
2;;1.141,19;1.027,26;;;1.263,57;1.210,84;1.191,78;1.142,90;;;1.097,92
3;;1.152,78;1.025,16;;1.154,56;;;1.194,24;1.141,50;;1.089,01;1.110,21
4;1.182,40;1.150,21;1.053,46;;1.136,87;1.271,07;;1.177,98;;1.105,08;1.068,38;
5;1.170,41;1.146,56;1.071,42;1.105,46;1.147,19;;1.207,40;1.162,13;;1.105,98;1.081,29;
6;1.163,37;;;1.105,85;1.147,66;;1.192,97;1.178,07;1.152,55;1.106,37;;1.122,00
7;1.176,76;;;1.099,89;1.167,48;1.280,78;1.210,27;;;1.103,91;;1.114,74
8;1.208,91;1.141,64;1.026,59;1.102,65;;1.274,57;1.193,62;;1.113,71;1.132,04;1.077,62;1.121,83
9;;1.137,62;1.019,16;1.099,82;;1.270,53;;1.185,78;1.132,91;;1.086,13;1.099,85
10;;1.127,30;1.044,70;;1.164,24;1.274,82;;1.167,30;1.126,46;;1.107,85;1.114,55
11;1.182,48;1.136,25;1.066,49;;1.168,73;1.259,66;;1.164,78;;1.130,13;1.118,33;
12;1.195,62;1.132,98;1.068,38;1.106,58;1.143,86;;1.219,62;1.149,30;;;1.109,00;
13;1.189,76;;;1.108,04;1.156,37;;1.221,72;1.156,35;1.147,15;1.139,01;;1.112,05
14;1.212,83;;;1.114,81;1.176,01;1.272,44;1.232,01;;1.147,83;1.137,06;;1.106,40
15;1.181,91;;1.079,63;1.132,80;;1.269,40;1.224,26;;1.134,39;1.153,48;;1.111,62
16;;;1.064,52;1.146,27;;1.264,55;1.215,03;1.148,40;1.135,91;;1.091,87;1.114,77
17;;1.126,47;1.096,12;;1.186,63;1.255,56;;1.139,92;1.120,93;;1.077,23;1.102,42
18;1.178,21;1.112,91;1.086,97;;1.190,05;1.254,32;;1.137,34;;1.160,00;1.076,45;
19;1.167,26;1.111,69;1.100,88;1.139,91;1.193,88;;1.205,98;1.145,50;;1.121,81;1.089,74;
20;1.155,15;;;1.141,41;1.201,94;;1.212,39;1.157,55;1.103,47;1.126,24;;1.085,53
21;1.139,24;;;;1.197,89;1.255,48;1.214,32;;1.116,75;1.091,87;;1.086,68
22;1.127,82;1.058,70;1.094,67;1.130,04;;1.244,60;1.214,36;;1.132,82;1.073,37;1.075,42;1.085,91
23;;1.076,67;1.081,28;1.140,00;;1.235,72;1.203,56;1.146,22;1.141,73;;1.084,54;1.083,15
24;;1.071,85;1.061,51;;1.206,48;1.242,41;;1.176,11;1.132,72;;1.089,50;
25;;1.046,95;1.078,97;;1.202,89;1.220,09;;1.182,11;;1.091,94;1.109,00;
26;1.113,59;1.028,32;1.083,85;1.159,57;1.214,92;;1.207,82;1.154,95;;1.072,92;1.083,34;
27;1.119,59;;;1.139,98;1.220,28;;1.202,01;1.175,91;1.140,79;1.083,31;;1.091,98
28;1.146,62;;;1.160,62;1.224,24;1.217,90;1.217,69;;1.112,73;1.067,13;;1.089,28
29;1.113,03;;1.088,60;1.155,75;;1.207,81;1.208,57;;1.118,84;1.052,07;1.079,96;1.080,07
30;;;1.113,44;1.147,27;;1.199,67;1.182,36;1.164,91;1.111,82;;1.075,11;1.086,30
31;;;1.107,32;;1.223,59;;;1.165,18;;;;
MÍNIMO;1.113,03;1.028,32;1.014,38;1.086,38;1.136,87;1.199,67;1.182,36;1.137,34;1.103,47;1.052,07;1.068,38;1.061,24
MÍNIMO;1.212,83;1.152,78;1.113,44;1.160,62;1.224,24;1.280,78;1.232,01;1.194,24;1.171,87;1.160,00;1.118,33;1.122,00
