IDIV - 2008
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;2.005,04;;2.137,48;;;2.314,82;2.170,15;2.034,22;1.792,12;;1.436,45
2;1.924,34;;;2.164,84;2.374,50;2.567,02;2.223,34;;1.984,06;1.698,69;;1.463,09
3;1.939,99;;2.135,17;2.193,89;;2.530,12;2.145,82;;1.939,19;1.664,94;1.432,88;1.473,19
4;1.900,99;;2.119,34;2.213,20;;2.501,26;2.133,32;2.096,36;1.848,59;;1.481,85;1.490,65
5;;;2.143,50;;2.398,50;2.596,14;;2.119,67;1.859,68;;1.401,20;1.509,28
6;;1.963,92;2.104,39;;2.408,50;2.561,84;;2.146,92;;1.577,59;1.368,57;
7;1.908,00;1.963,98;2.064,35;2.191,71;2.382,80;;2.150,72;2.114,78;;1.499,66;1.393,45;
8;1.946,57;1.953,57;;2.206,56;2.432,51;;2.171,55;2.085,30;1.826,37;1.412,35;;1.591,22
9;1.961,08;;;2.168,74;2.441,95;2.564,99;;;1.739,38;1.362,28;;1.568,61
10;1.994,17;;2.004,05;2.172,41;;2.523,17;2.235,89;;1.770,40;1.320,50;1.377,97;1.551,60
11;1.944,24;1.981,54;2.066,50;2.159,75;;2.492,47;2.236,72;2.001,61;1.809,76;;1.412,99;1.520,11
12;;2.011,28;2.069,49;;2.467,30;2.503,23;;1.970,27;1.835,89;;1.339,56;1.555,73
13;;2.031,31;2.087,49;;2.461,10;2.461,82;;1.981,49;;1.490,01;1.416,92;
14;1.963,73;2.022,66;2.101,56;2.116,80;2.454,68;;2.255,74;2.008,26;;1.511,58;1.413,45;
15;1.908,41;2.022,69;;2.129,38;2.512,43;;2.278,61;1.972,74;1.727,72;1.387,82;;1.521,23
16;1.886,60;;;2.203,70;2.577,60;2.462,93;2.319,27;;1.741,04;1.439,71;;1.570,74
17;1.831,23;;2.040,97;2.207,34;;2.517,92;2.246,55;;1.617,24;1.426,32;1.426,70;1.543,21
18;1.861,46;2.052,24;2.101,50;2.228,44;;2.447,93;2.235,43;1.950,17;1.681,95;;1.389,91;1.571,55
19;;2.050,35;2.029,67;;2.594,97;2.456,93;;1.956,90;1.863,80;;1.402,10;1.562,40
20;;2.114,87;2.021,83;;2.574,54;2.366,31;;2.017,63;;1.505,18;;
21;1.744,68;2.140,62;;;2.519,21;;2.295,00;2.038,78;;1.484,62;1.349,42;
22;1.826,74;2.144,21;;2.247,42;;;2.244,99;2.039,49;1.832,68;1.338,26;;1.499,56
23;1.755,62;;;2.244,29;2.514,86;2.338,48;2.212,53;;1.792,03;1.313,50;;1.467,53
24;1.848,16;;2.040,38;2.246,00;;2.315,01;2.147,38;;1.785,26;1.253,19;1.424,42;
25;;2.143,35;2.080,14;2.256,59;;2.393,63;2.123,83;1.995,25;1.837,50;;1.439,51;
26;;2.133,83;2.061,66;;2.528,76;2.349,23;;1.994,29;1.821,46;;1.488,41;1.465,73
27;;2.130,59;2.041,61;;2.514,78;2.361,51;;2.035,89;;1.198,77;1.477,81;
28;1.898,48;2.126,53;2.050,72;2.281,39;2.596,39;;2.113,74;2.070,92;;1.351,26;1.492,84;
29;1.928,99;2.094,60;;2.221,35;2.550,99;;2.175,10;2.051,97;1.664,43;1.374,12;;1.467,05
30;1.947,62;;;2.365,97;2.584,71;2.379,75;2.250,42;;1.786,88;1.441,42;;1.487,72
31;1.940,70;;2.065,10;;;;2.230,45;;;1.426,15;;
MÍNIMO;1.744,68;1.953,57;2.004,05;2.116,80;2.374,50;2.315,01;2.113,74;1.950,17;1.617,24;1.198,77;1.339,56;1.436,45
MÍNIMO;1.994,17;2.144,21;2.143,50;2.365,97;2.596,39;2.596,14;2.319,27;2.170,15;2.034,22;1.792,12;1.492,84;1.591,22
