IBLV - 2024
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;19.332,39;19.469,26;19.330,76;;;18.993,41;19.667,44;;20.151,53;19.377,81;
2;20.082,03;19.206,03;;19.393,89;19.078,11;;18.973,16;19.594,74;20.452,22;20.283,00;;18.818,84
3;20.073,28;;;19.423,83;19.404,68;18.497,21;19.133,76;;20.520,19;19.962,89;;19.046,67
4;19.918,77;;19.307,56;19.491,33;;18.578,77;19.242,45;;20.851,42;19.989,08;19.738,97;19.009,27
5;19.975,09;19.307,14;19.298,84;19.361,24;;18.495,37;19.182,57;19.433,34;20.848,11;;19.751,65;19.259,39
6;;19.693,47;19.304,96;;19.413,47;18.661,70;;19.554,32;20.696,33;;19.680,69;19.041,87
7;;19.647,11;19.351,02;;19.314,52;18.393,37;;19.663,20;;19.955,85;19.632,81;
8;19.995,13;19.373,04;19.390,79;19.558,80;19.276,27;;19.218,49;19.800,38;;19.904,86;19.334,69;
9;19.916,89;19.333,82;;19.776,74;19.051,60;;19.337,75;20.079,25;20.632,85;19.653,39;;19.135,68
10;19.871,31;;;19.438,55;18.995,32;18.312,10;19.431,52;;20.585,50;19.673,88;;19.287,33
11;19.759,13;;19.322,65;19.355,40;;18.432,30;19.636,30;;20.555,21;19.564,04;19.367,04;19.490,36
12;19.756,58;;19.389,93;19.151,09;;18.259,87;19.687,17;20.081,74;20.446,80;;19.180,14;18.972,38
13;;;19.363,71;;19.107,76;18.234,63;;20.293,30;20.552,80;;19.183,80;18.780,74
14;;19.248,53;19.373,04;;19.248,75;18.345,87;;20.494,29;;19.698,16;19.152,65;
15;19.832,72;19.291,78;19.311,21;19.063,71;19.319,76;;19.683,67;20.468,93;;19.752,64;;
16;19.558,05;19.263,56;;18.891,67;19.398,15;;19.757,08;20.503,03;20.608,77;19.873,15;;18.615,02
17;19.549,58;;;18.853,38;19.315,64;18.223,64;19.834,89;;20.540,51;19.743,41;;18.859,29
18;19.353,04;;19.358,50;18.827,49;;18.206,33;19.607,04;;20.458,84;19.765,20;19.062,57;18.298,21
19;19.380,54;19.284,36;19.433,09;18.947,24;;18.305,46;19.572,47;20.679,84;20.334,03;;19.222,68;18.408,99
20;;19.491,22;19.587,49;;19.289,92;18.349,04;;20.773,28;20.076,31;;;18.566,98
21;;19.423,78;19.572,85;;19.295,47;18.494,28;;20.823,08;;19.759,51;18.956,53;
22;19.252,19;19.523,33;19.435,81;18.939,10;19.053,33;;19.727,26;20.663,35;;19.655,47;19.254,72;
23;19.434,97;19.435,57;;18.862,23;18.948,39;;19.511,95;20.789,63;19.973,00;19.581,14;;18.174,22
24;19.344,45;;;18.780,24;18.922,99;18.677,29;19.414,89;;20.086,67;19.664,43;;
25;19.334,99;;19.269,23;18.672,16;;18.651,82;19.278,32;;20.014,75;19.608,66;19.349,37;
26;19.441,39;19.442,32;19.359,03;18.864,27;;18.673,23;19.442,68;20.688,53;20.230,18;;19.540,39;18.146,93
27;;19.743,36;19.482,92;;18.921,55;18.916,84;;20.627,16;20.219,06;;19.162,88;18.056,18
28;;19.704,88;19.460,56;;18.827,07;18.845,03;;20.661,65;;19.724,30;18.802,66;
29;19.333,89;19.533,16;;18.935,24;18.651,20;;19.461,24;20.502,34;;19.569,60;18.901,42;
30;19.196,22;;;18.799,22;;;19.379,35;20.538,33;20.137,64;19.676,26;;17.995,49
31;19.265,51;;;;18.453,57;;19.535,13;;;19.578,41;;
MÍNIMO;19.196,22;19.206,03;19.269,23;18.672,16;18.453,57;18.206,33;18.973,16;19.433,34;19.973,00;19.564,04;18.802,66;17.995,49
MÍNIMO;20.082,03;19.743,36;19.587,49;19.776,74;19.413,47;18.916,84;19.834,89;20.823,08;20.851,42;20.283,00;19.751,65;19.490,36
