IBLV - 2016
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;7.890,46;8.323,23;8.928,90;;9.013,01;9.339,26;10.072,90;9.955,33;;10.155,10;9.324,19
2;;7.655,01;8.319,65;;9.142,30;9.095,88;;9.920,14;10.116,92;;;9.334,67
3;;7.780,81;8.398,45;;9.082,01;9.187,67;;9.927,83;;10.127,77;9.982,39;
4;7.662,65;7.894,43;8.598,42;8.730,41;9.128,18;;9.432,67;9.981,53;;10.075,07;9.947,35;
5;7.861,47;7.855,51;;8.715,91;9.063,71;;9.442,05;10.041,15;10.093,51;10.174,58;;9.240,82
6;7.805,72;;;8.568,36;9.052,99;9.170,80;9.419,35;;10.175,20;10.185,35;;9.383,44
7;7.615,69;;8.604,03;8.657,02;;9.137,34;9.450,95;;;10.195,02;10.150,94;9.447,27
8;7.637,28;;8.640,77;8.827,39;;9.251,65;9.555,07;9.989,77;10.139,93;;10.180,13;9.411,07
9;;;8.632,25;;9.021,64;9.211,43;;9.994,25;9.856,48;;10.040,09;9.390,82
10;;7.819,82;8.732,30;;9.260,92;9.052,80;;9.910,56;;10.204,27;9.766,48;
11;7.540,00;7.662,91;8.684,86;8.663,51;9.224,18;;9.662,54;10.041,41;;10.120,95;9.477,96;
12;7.589,46;7.716,79;;8.792,92;9.359,26;;9.655,19;10.015,79;9.914,74;;;9.269,20
13;7.542,60;;;8.927,21;9.263,89;9.129,46;9.666,91;;9.779,72;10.180,83;;9.327,88
14;7.549,27;;8.600,90;8.924,02;;8.968,19;9.726,55;;9.825,36;10.151,39;9.525,44;9.229,50
15;7.442,92;7.755,21;8.497,58;9.056,42;;9.010,91;9.681,29;10.083,42;9.935,35;;;9.245,24
16;;7.882,31;8.611,99;;9.269,17;9.091,83;;10.058,90;9.857,31;;9.684,92;9.338,45
17;;7.953,75;8.952,87;;9.163,39;9.074,86;;10.095,16;;10.240,67;9.569,74;
18;7.348,89;8.021,63;8.952,04;9.020,57;9.066,05;;9.767,73;10.056,28;;10.348,76;9.581,34;
19;7.415,73;8.024,76;;9.107,36;9.039,39;;9.829,87;10.024,19;9.935,62;10.274,52;;9.238,31
20;7.351,21;;;9.028,29;9.065,71;9.188,42;9.827,69;;10.019,83;10.314,69;;9.202,62
21;7.430,37;;9.030,93;;;9.272,48;9.854,78;;10.057,54;10.329,12;9.626,87;9.235,29
22;7.538,08;8.196,91;9.027,18;8.985,02;;9.138,39;9.975,66;9.902,51;10.104,62;;9.652,87;9.246,04
23;;8.122,05;8.896,30;;8.997,03;9.266,17;;9.874,23;10.079,60;;9.650,76;9.268,35
24;;8.027,70;8.875,72;;9.004,15;9.099,19;;9.877,78;;10.311,57;9.617,24;
25;;8.050,31;;8.926,17;8.957,69;;9.944,53;9.904,68;;10.279,06;9.629,19;
26;7.396,49;8.002,61;;9.023,43;;;9.944,39;9.838,95;9.982,69;10.271,13;;9.318,88
27;7.579,37;;;9.248,11;8.944,37;9.067,82;9.963,51;;10.044,39;10.307,03;;9.335,70
28;7.609,01;;9.037,14;9.242,23;;9.114,04;10.083,54;;10.145,64;10.297,07;9.755,00;9.472,66
29;7.895,88;8.173,76;9.083,95;9.142,12;;9.215,72;10.147,13;9.961,63;10.049,02;;9.611,56;9.570,87
30;;;9.071,33;;8.937,74;9.290,40;;9.971,65;10.015,20;;9.683,60;
31;;;8.864,32;;8.939,41;;;9.925,02;;10.364,92;;
MÍNIMO;7.348,89;7.655,01;8.319,65;8.568,36;8.937,74;8.968,19;9.339,26;9.838,95;9.779,72;10.075,07;9.477,96;9.202,62
MÍNIMO;7.895,88;8.196,91;9.083,95;9.248,11;9.359,26;9.290,40;10.147,13;10.095,16;10.175,20;10.364,92;10.180,13;9.570,87
