IBSD - 2019
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;1.090,12;1.054,69;1.041,78;;;1.123,77;1.127,24;;1.138,92;1.171,23;
2;;;;1.031,55;1.046,80;;1.118,25;1.125,51;1.109,19;1.111,07;;1.179,82
3;;;;1.028,49;1.044,78;1.102,07;1.129,15;;1.095,26;1.120,10;;1.180,72
4;;1.099,45;;1.047,81;;1.105,33;1.144,44;;1.106,60;1.127,24;1.175,73;1.189,65
5;;1.101,56;;1.057,39;;1.094,14;1.148,66;1.101,23;1.120,05;;1.172,28;1.194,02
6;;1.058,64;1.042,08;;1.037,83;1.105,78;;1.123,18;1.120,58;;1.176,99;1.200,58
7;1.000,00;1.059,83;1.037,03;;1.028,92;1.106,58;;1.127,10;;1.098,62;1.186,53;
8;1.002,91;1.075,42;1.052,81;1.062,10;1.033,04;;1.154,39;1.144,86;;1.096,99;1.164,67;
9;1.015,39;;;1.046,10;1.032,15;;;1.139,06;1.113,20;1.109,14;;1.216,34
10;1.021,16;;;1.048,21;1.031,53;1.096,78;1.166,42;;1.116,58;1.115,36;;1.210,29
11;1.026,87;1.068,06;1.071,84;1.039,22;;1.109,34;1.160,39;;1.128,92;1.141,08;1.168,48;1.220,02
12;;1.080,62;1.074,85;1.027,38;;1.098,36;1.149,97;1.118,76;1.140,02;;1.155,17;1.229,81
13;;1.071,68;1.092,15;;1.005,01;1.099,43;;1.132,35;1.125,52;;1.149,94;1.248,35
14;1.042,56;1.093,57;1.089,84;;1.010,95;1.092,83;;1.101,66;;1.145,47;1.161,35;
15;1.033,24;1.088,93;1.090,26;1.029,94;1.003,31;;1.144,14;1.089,61;;1.143,34;;
16;1.028,88;;;1.036,63;988,70;;1.145,95;1.094,94;1.121,03;1.156,44;;1.247,62
17;1.037,34;;;1.026,44;982,61;1.087,71;1.146,78;;1.134,15;1.153,41;;1.250,59
18;1.041,38;1.084,95;1.090,07;1.042,89;;1.109,31;1.155,26;;1.137,52;1.152,22;1.156,62;1.272,51
19;;1.098,28;1.079,96;;;1.110,01;1.140,69;1.085,88;1.143,82;;1.152,87;1.288,25
20;;1.077,17;1.063,05;;1.014,76;;;1.082,64;1.145,08;;;1.280,43
21;1.039,85;1.080,89;1.047,15;;1.045,53;1.120,82;;1.103,44;;1.163,93;1.162,51;
22;1.039,84;1.086,01;1.019,33;1.045,88;1.044,83;;1.142,12;1.093,17;;1.174,84;1.175,62;
23;1.059,15;;;1.056,62;1.046,70;;1.137,54;1.073,91;1.140,64;1.170,69;;1.295,18
24;1.078,16;;;1.044,36;1.044,05;1.122,98;1.132,62;;1.128,92;1.167,42;;
25;;1.081,58;1.023,33;1.053,17;;1.102,21;1.116,92;;1.134,19;1.167,00;1.174,11;
26;;1.077,91;1.036,79;1.056,71;;1.115,07;1.127,74;1.058,94;1.142,74;;1.164,61;1.313,51
27;;1.084,04;998,10;;1.063,22;1.121,00;;1.067,31;1.144,47;;1.171,28;1.311,39
28;1.072,24;1.062,31;1.028,98;;1.078,04;1.125,54;;1.075,99;;1.171,92;1.181,78;
29;1.076,08;;1.035,31;1.053,38;1.079,17;;1.130,61;1.100,66;;1.166,78;1.183,23;
30;1.083,51;;;1.052,39;1.091,34;;1.129,92;1.107,79;1.149,88;1.176,43;;1.306,07
31;1.084,01;;;;1.104,38;;1.125,05;;;1.163,60;;
MÍNIMO;1.000,00;1.058,64;998,10;1.026,44;982,61;1.087,71;1.116,92;1.058,94;1.095,26;1.096,99;1.149,94;1.179,82
MÍNIMO;1.084,01;1.101,56;1.092,15;1.062,10;1.104,38;1.125,54;1.166,42;1.144,86;1.149,88;1.176,43;1.186,53;1.313,51
