IDIV - 2015
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;2.661,04;;2.752,13;2.648,76;;2.219,34;2.150,48;;2.090,68
2;2.697,92;2.531,36;2.695,02;2.709,08;;2.824,72;2.656,95;;2.260,41;2.228,77;;2.100,12
3;;2.576,75;2.688,69;;;2.777,47;2.634,04;2.547,93;2.308,06;;2.383,06;2.143,79
4;;2.582,33;2.623,87;;3.012,71;;;2.534,42;2.259,38;;2.385,00;2.090,13
5;2.652,65;2.592,50;2.607,84;;3.118,69;2.750,42;;2.553,87;;2.260,94;2.384,52;
6;2.674,27;2.553,46;2.589,07;2.748,98;3.087,13;;2.632,89;2.525,33;;2.274,42;2.310,42;
7;2.758,66;;;2.727,44;3.047,14;;2.621,38;2.451,89;;2.361,98;;2.080,95
8;2.761,52;;;2.706,55;3.025,92;2.719,44;2.586,37;;2.279,88;2.371,99;;2.039,00
9;2.677,07;2.607,95;2.539,72;2.688,86;;2.718,08;;;2.284,81;2.419,85;2.272,88;2.116,00
10;;2.545,34;2.525,21;2.703,02;;2.768,52;2.599,48;2.494,98;2.312,95;;2.275,54;2.113,66
11;;2.569,38;2.533,39;;3.050,32;2.756,66;;2.471,42;2.298,20;;2.307,97;2.093,00
12;2.648,54;2.621,59;2.570,96;;2.998,78;2.728,67;;2.440,82;;;2.283,30;
13;2.651,77;2.712,04;2.557,36;2.707,89;2.938,33;;2.650,75;2.399,01;;2.315,62;2.257,14;
14;2.614,27;;;2.706,31;2.932,84;;2.644,48;2.372,87;2.323,00;2.295,02;;2.073,40
15;2.620,82;;;2.747,96;2.953,02;2.705,45;2.628,89;;2.328,46;2.314,83;;2.104,81
16;2.684,68;;2.564,41;2.764,32;;2.695,29;2.625,35;;2.383,78;2.299,37;2.249,50;2.117,83
17;;;2.645,72;2.716,78;;2.680,72;2.580,73;2.359,22;2.395,82;;2.257,10;2.113,18
18;;2.748,65;2.688,14;;2.898,64;2.742,90;;2.374,70;2.348,43;;2.270,94;2.073,65
19;2.620,68;2.748,31;2.630,72;;2.871,44;2.723,44;;2.304,41;;2.297,22;2.308,14;
20;2.633,20;2.735,74;2.719,38;2.715,05;2.835,81;;2.557,85;2.321,26;;2.281,43;;
21;2.688,57;;;;2.814,06;;2.552,57;2.276,14;2.320,29;2.298,85;;2.001,30
22;2.699,22;;;2.800,89;2.789,57;2.726,25;2.507,22;;2.287,26;2.329,12;;2.013,34
23;2.640,72;2.698,71;2.723,34;2.871,79;;2.713,07;2.477,47;;2.213,58;2.321,73;2.287,35;2.055,36
24;;2.717,72;2.714,80;2.945,31;;2.703,70;2.430,37;2.176,74;2.197,08;;2.291,34;
25;;2.727,69;2.705,71;;2.835,52;2.659,58;;2.183,45;2.156,11;;2.218,40;
26;2.583,40;2.732,05;2.627,78;;2.789,92;2.713,82;;2.241,69;;2.303,20;2.243,27;
27;2.569,89;2.731,47;2.599,31;2.922,56;2.832,08;;2.445,29;2.331,64;;2.283,45;2.174,13;
28;2.554,90;;;2.939,91;2.790,98;;2.484,79;2.294,27;2.094,18;2.256,65;;2.033,72
29;2.533,51;;;2.871,37;2.724,94;2.664,05;2.532,36;;2.102,33;2.213,32;;2.027,26
30;2.479,83;;2.649,57;2.928,09;;2.656,75;2.516,08;;2.139,41;2.277,11;2.104,35;2.025,43
31;;;2.618,41;;;;2.564,28;2.280,91;;;;
MÍNIMO;2.479,83;2.531,36;2.525,21;2.661,04;2.724,94;2.656,75;2.430,37;2.176,74;2.094,18;2.150,48;2.104,35;2.001,30
MÍNIMO;2.761,52;2.748,65;2.723,34;2.945,31;3.118,69;2.824,72;2.656,95;2.553,87;2.395,82;2.419,85;2.385,00;2.143,79
