IDIV - 2010
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;2.275,65;2.282,52;2.426,70;;2.195,29;2.251,95;;2.418,36;2.532,08;2.600,25;2.579,15
2;;2.284,31;2.282,07;;;2.220,58;2.259,19;2.433,38;2.394,16;;;2.583,57
3;;2.271,02;2.282,01;;2.353,38;;;2.413,04;2.384,04;;2.610,59;2.588,05
4;2.335,00;2.202,22;2.286,54;;2.287,11;2.202,89;;2.415,85;;2.546,21;2.646,53;
5;2.331,90;2.170,11;2.310,82;2.431,09;2.285,49;;2.256,89;2.429,37;;2.576,49;2.622,55;
6;2.336,05;;;2.416,52;2.252,05;;2.290,50;2.429,81;2.381,46;2.569,19;;2.573,97
7;2.321,02;;;2.404,34;2.251,62;2.203,37;2.314,35;;;2.550,48;;2.563,04
8;2.329,40;2.185,87;2.303,69;2.421,81;;2.207,61;2.309,84;;2.364,31;2.577,97;2.624,36;2.536,40
9;;2.227,63;2.344,58;2.420,65;;2.193,94;;2.415,29;2.364,90;;2.610,09;2.508,13
10;;2.237,66;2.374,34;;2.305,30;2.236,36;;2.408,34;2.380,02;;2.604,93;2.519,05
11;2.339,68;2.271,83;2.376,47;;2.285,03;2.252,23;;2.371,29;;2.592,37;2.575,53;
12;2.322,87;2.257,48;2.363,91;2.399,13;2.299,06;;2.298,46;2.383,30;;;2.573,93;
13;2.328,49;;;2.411,11;2.301,76;;2.330,46;2.372,30;2.411,71;2.634,30;;2.546,91
14;2.317,75;;;2.411,44;2.264,46;2.264,41;2.310,90;;2.427,65;2.608,85;;2.538,83
15;2.278,44;;2.364,61;2.401,67;;2.281,97;2.301,41;;2.445,28;2.630,00;;2.517,04
16;;;2.380,42;2.375,11;;2.293,94;2.268,11;2.390,07;2.434,08;;2.546,46;2.524,76
17;;2.280,27;2.379,54;;2.270,48;2.295,41;;2.389,47;2.417,71;;2.562,34;2.523,54
18;2.271,32;2.292,55;2.380,84;;2.216,84;2.293,00;;2.402,64;;2.619,43;2.590,23;
19;2.299,54;2.281,18;2.367,72;2.360,11;2.197,72;;2.295,56;2.389,84;;2.582,13;2.608,23;
20;2.254,54;;;2.361,83;2.142,68;;2.317,32;2.400,64;2.442,94;2.592,34;;2.510,09
21;2.221,39;;;;2.186,96;2.308,05;2.318,59;;2.437,67;2.574,39;;2.538,60
22;2.238,36;2.268,85;2.372,13;2.378,41;;2.318,78;2.364,25;;2.455,43;2.571,11;2.574,81;2.534,38
23;;2.238,82;2.384,83;2.391,63;;2.312,16;2.379,30;2.382,28;2.465,33;;2.529,45;2.542,52
24;;2.239,36;2.383,76;;2.178,61;2.294,18;;2.372,85;2.442,28;;2.581,38;
25;;2.251,06;2.376,36;;2.155,19;2.319,61;;2.358,42;;2.572,61;2.579,51;
26;2.233,62;2.254,98;2.389,63;2.374,86;2.173,80;;2.382,74;2.340,60;;2.599,37;2.548,71;
27;2.222,84;;;2.323,48;2.218,97;;2.381,20;2.380,11;2.461,16;2.586,75;;2.522,55
28;2.233,28;;;2.331,38;2.210,95;2.317,08;2.384,10;;2.471,96;2.580,80;;2.529,06
29;2.243,88;;2.415,80;2.358,28;;2.264,86;2.399,83;;2.483,13;2.577,77;2.537,02;2.550,90
30;;;2.413,53;2.357,76;;2.240,86;2.421,59;2.354,70;2.498,71;;2.528,74;2.567,40
31;;;2.406,85;;2.242,07;;;2.358,99;;;;
MÍNIMO;2.221,39;2.170,11;2.282,01;2.323,48;2.142,68;2.193,94;2.251,95;2.340,60;2.364,31;2.532,08;2.528,74;2.508,13
MÍNIMO;2.339,68;2.292,55;2.415,80;2.431,09;2.353,38;2.319,61;2.421,59;2.433,38;2.498,71;2.634,30;2.646,53;2.588,05
